director_name,duration,director_facebook_likes,actor_2_name,gross,genres,num_voted_users,plot_keywords,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio
Sngmoo Lee,100,19,Dong-gun Jang,5664251,Action|Fantasy|Western,22309,bullet time|explosion|knife throwing|throwing a knife|violence,http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1,102,45000000,2010,6.3,2.35
,30,,Gavin MacLeod,,Comedy|War,1558,american soldier|naval uniform|navy|patrol boat|uniform,http://www.imdb.com/title/tt0055689/?ref_=fn_tt_tt_1,18,,,7.5,4.0
Jean-Pierre Jeunet,105,0,Dany Boon,1260917,Action|Comedy|Crime,24657,bullet|contortionist|gag humor|human cannonball|revenge,http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1,71,27000000,2009,7.2,2.35
Curtis Hanson,110,161,Omar Benson Miller,116724075,Drama|Music,187181,competition|contest|friend|self expression|white rapper,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,564,41000000,2002,7.0,2.35
Jamel Debbouze,101,326,Youssef Hajdi,,Adventure|Animation|Comedy|Family,590,ape|computer animation|evolution|first person title|reference to louis de funes,http://www.imdb.com/title/tt1220911/?ref_=fn_tt_tt_1,5,,2015,4.9,
Brian Helgeland,144,241,Rufus Sewell,56083966,Action|Adventure|Romance,137003,chaucer|jousting|knight|medieval times|tournament,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1,658,65000000,2001,6.9,2.35
Gordon Chan,108,4,Lee Evans,22108977,Action|Comedy|Fantasy,29861,hong kong|interpol|medallion|ship|tough cop,http://www.imdb.com/title/tt0288045/?ref_=fn_tt_tt_1,132,41000000,2003,5.2,2.35
M. Night Shyamalan,107,0,Haley Joel Osment,293501675,Drama|Mystery|Thriller,704766,able to see the dead|ghost|plot twist|psychic|surprise ending,http://www.imdb.com/title/tt0167404/?ref_=fn_tt_tt_1,2073,40000000,1999,8.1,1.85
Asger Leth,102,20,Mandy Gonzalez,18600911,Action|Crime|Thriller,125198,detective|diamond|hotel|police|rooftop,http://www.imdb.com/title/tt1568338/?ref_=fn_tt_tt_1,153,42000000,2012,6.6,2.35
David Frankel,100,64,Kevin Pollak,7204138,Comedy,34809,alaska|birding|competition|migration|storm,http://www.imdb.com/title/tt1053810/?ref_=fn_tt_tt_1,125,41000000,2011,6.2,2.35
John G. Avildsen,126,80,William Zabka,90800000,Action|Drama|Family|Sport,126907,apartment|bully|fight|karate|master,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,235,8000000,1984,7.2,1.85
David O. Russell,138,737,Christian Bale,150117807,Crime|Drama,358416,based on true story|con artist|drunk wife|fbi investigation|scam,http://www.imdb.com/title/tt1800241/?ref_=fn_tt_tt_1,751,40000000,2013,7.3,2.35
Anne Fletcher,108,98,Denis O'Hare,163947053,Comedy|Drama|Romance,227824,alaska|deportation|father son relationship|male objectification|sitka alaska,http://www.imdb.com/title/tt1041829/?ref_=fn_tt_tt_1,273,40000000,2009,6.7,2.35
Bruce Beresford,105,78,Annabeth Gish,116735231,Crime|Mystery|Thriller,56646,blood|murder|sex scene|wrongful arrest|wrongful conviction,http://www.imdb.com/title/tt0150377/?ref_=fn_tt_tt_1,336,70000000,1999,6.4,2.35
Robert Zemeckis,108,0,Jeffrey Weissman,118500000,Adventure|Comedy|Sci-Fi,340085,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,http://www.imdb.com/title/tt0096874/?ref_=fn_tt_tt_1,327,40000000,1989,7.8,1.85
Luc Besson,89,0,Morgan Freeman,126546825,Action|Sci-Fi|Thriller,327367,brain capacity|drugs|fictional drug|one woman army|tough girl,http://www.imdb.com/title/tt2872732/?ref_=fn_tt_tt_1,918,40000000,2014,6.4,2.35
Sam Taylor-Johnson,129,456,Luke Grimes,166147885,Drama|Romance,220020,female frontal nudity|female nudity|perversion|sex scene|spanking,http://www.imdb.com/title/tt2322441/?ref_=fn_tt_tt_1,1360,40000000,2015,4.1,2.35
Robert Rodriguez,84,0,Salma Hayek,111760631,Action|Adventure|Comedy|Family|Sci-Fi,40227,mission|spy|surfing|trapped|virtual reality,http://www.imdb.com/title/tt0338459/?ref_=fn_tt_tt_1,188,38000000,2003,4.1,1.85
Joel Schumacher,149,541,Matthew McConaughey,108706165,Crime|Drama|Thriller,99558,african american|court|law|mississippi|trial,http://www.imdb.com/title/tt0117913/?ref_=fn_tt_tt_1,236,40000000,1996,7.4,2.35
Shawn Levy,94,189,Alyson Stoner,138614544,Comedy|Family,75152,9 year old|house|illinois|new job|vomiting,http://www.imdb.com/title/tt0349205/?ref_=fn_tt_tt_1,288,40000000,2003,5.8,1.85
Peter Berg,121,532,Scott Elrod,125069696,Action|Biography|Drama|Thriller|War,203963,courage|navy seal|outnumbered|shot multiple times|survival,http://www.imdb.com/title/tt1091191/?ref_=fn_tt_tt_1,420,40000000,2013,7.6,2.35
Penny Marshall,128,545,Lori Petty,107458785,Comedy|Drama|Sport,71754,baseball|friend|oregon|rivalry|softball,http://www.imdb.com/title/tt0104694/?ref_=fn_tt_tt_1,166,40000000,1992,7.2,2.35
James Wan,134,0,Frances O'Connor,102310175,Horror|Mystery|Thriller,64989,based on supposedly true story|house|paranormal investigating|psychic|second part,http://www.imdb.com/title/tt3065204/?ref_=fn_tt_tt_1,279,40000000,2016,7.8,2.35
David Fincher,120,21000,Dustin Fitzsimons,96917897,Biography|Drama,479453,competitiveness|creator|entrepreneur|facebook|intellectual property,http://www.imdb.com/title/tt1285016/?ref_=fn_tt_tt_1,696,40000000,2010,7.7,2.35
Ken Kwapis,129,42,Sabrina Revelle,93952276,Comedy|Drama|Romance,132048,advertising|bar|dating|lingerie slip|six word title,http://www.imdb.com/title/tt1001508/?ref_=fn_tt_tt_1,203,40000000,2009,6.4,2.35
