actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,content_rating,imdb_score
Nicolas Cage,24854,15044,Quinton Aaron,PG-13,3.1
Robert Pattinson,113963,22088,Ruby Jerins,PG-13,7.2
Dylan Baker,8215,1882,Trent Ford,PG-13,5.7
Jon Lovitz,21079,14677,Tony Jay,PG-13,5.2
Denzel Washington,178731,33865,Jason Robards,PG-13,7.7
Gretchen Mol,51996,2389,Brad William Henke,R,7.0
Farrah Fawcett,2385,3835,Jenifer Lewis,PG-13,3.6
Martin Landau,5237,1945,Brian Keith,PG,4.9
Lochlyn Munro,8217,1227,Huey Lewis,R,6.0
Woody Allen,21613,12766,Treat Williams,PG-13,6.6
Natasha Lyonne,30682,2518,Shannon Tweed,R,6.8
Christopher Lambert,98629,1852,Celia Imrie,R,7.2
Alison Lohman,24104,1889,Robin Weigert,R,7.2
Charles Napier,8687,3100,Hill Harper,PG-13,2.8
Jeremy Renner,20616,11019,Angela Sarafyan,R,6.6
Vanessa Redgrave,5321,2096,Lynn Redgrave,PG-13,6.7
Rosario Dawson,92640,5056,Tuppence Middleton,R,7.0
Mo'Nique,18271,3935,Tom Arnold,R,4.4
Dany Boon,30587,329,Michel Galabru,,7.1
Viggo Mortensen,5664,11091,Steven Mackintosh,R,6.2
Paz de la Huerta,45449,943,Olly Alexander,Not Rated,7.3
Taylor Negron,7444,3086,Ivan Sergei,PG-13,5.1
Cary-Hiroyuki Tagawa,155249,4453,Joan Allen,G,8.1
Orlando Bloom,12817,5273,Conrad Kemp,R,6.7
Barry Corbin,21370,2896,Miranda Otto,R,6.6
Vivica A. Fox,5312,3104,Kevin Pollak,PG-13,4.5
Steven Van Zandt,19164,537,Tommy Karlsen,TV-MA,8.1
David Alpay,8624,699,Charles Aznavour,R,6.6
Bruce Dern,1033,3583,William Shockley,PG,6.5
Mekhi Phifer,3299,4329,Fisher Stevens,R,5.9
Carole Bouquet,29392,303,Michel Muller,R,6.6
Dustin Milligan,61912,1120,Tania Saulnier,R,6.5
Judge Reinhold,126464,3464,James Russo,R,7.3
Macaulay Culkin,311075,7521,Catherine O'Hara,PG,7.5
Tom Selleck,36918,21499,Steve Guttenberg,PG,5.9
Bill Murray,77366,14701,Teri Garr,PG,7.4
Tom Cruise,219171,13069,Adrian Pasdar,PG,6.9
Chen Chang,217740,129,Sihung Lung,PG-13,7.9
Kevin Spacey,822500,19078,Ara Celi,R,8.4
Colin Firth,503631,15732,Derek Jacobi,R,8.0
Kelly Preston,87538,2151,Hugh O'Brian,PG,6.0
Bex Taylor-Klaus,18058,2380,Jason Wiles,TV-14,7.3
Kristen Stewart,6723,30978,William Hurt,PG-13,6.8
Oprah Winfrey,60988,2592,Dana Ivey,PG-13,7.8
Nicole Dionne,2659,213,Kyung-gu Sol,R,5.7
Morgan Freeman,62,13390,Moises Arias,PG-13,6.1
Benedict Cumberbatch,467613,20295,Allen Leech,PG-13,8.1
Eileen Brennan,18140,2419,Alan Oppenheimer,R,6.1
