num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
173,99,455,16000,Crime|Drama|Thriller,Quentin Tarantino,Reservoir Dogs ,664719,0,gang|heist|heist gone wrong|nonlinear timeline|robbery,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,931,USA,1200000,1992,12000,19000
7,83,51,94,Drama|Family|Fantasy,Spring Byington,The Blue Bird ,1047,1,1800s|bird|blue bird of happiness|foreign language adaptation|past,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,25,USA,,1940,62,548
181,142,24,16000,Western,Clint Eastwood,"The Good, the Bad and the Ugly ",503509,3,civil war|hitman|outlaw|shootout|spaghetti western,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,780,Italy,1200000,1966,34,20000
111,112,4,61,Comedy|Drama,Alex Huszar,The Second Mother ,7025,1,brazil|exam|housekeeper|northeast region of brazil|portuguese language,http://www.imdb.com/title/tt3742378/?ref_=fn_tt_tt_1,26,Brazil,4000000,2015,9,0
38,108,274,1000,Comedy|Drama,Jason Marsden,Blue Like Jazz ,2582,0,church|college|color in title|philosophy|texas,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,89,USA,1200000,2012,330,0
12,88,3,268,Comedy|Music,Lemmy,Down and Out with the Dolls ,91,0,female bassist|female drummer|female guitarist|female singer|portland oregon,http://www.imdb.com/title/tt0283323/?ref_=fn_tt_tt_1,4,USA,1200000,2001,44,27
23,97,,,Documentary,,"Pink Ribbons, Inc. ",591,0,breast cancer|comma in title|period in title|punctuation in title|three word title,http://www.imdb.com/title/tt2035599/?ref_=fn_tt_tt_1,10,Canada,1200000,2011,,5000
17,85,924,49000,Comedy|Documentary,Robin Williams,Certifiably Jonathan ,132,10,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide,http://www.imdb.com/title/tt0976025/?ref_=fn_tt_tt_1,2,USA,1200000,2007,931,87
9,103,24,34,Drama,Déborah Révy,Q ,4068,1,female explicit nudity|hand job|oral sex|penetration|unsimulated sex,http://www.imdb.com/title/tt1879030/?ref_=fn_tt_tt_1,16,France,1500000,2011,29,754
1,110,0,3,Comedy|Drama,Nataniel Sánchez,The Knife of Don Juan ,27,3,,http://www.imdb.com/title/tt1349485/?ref_=fn_tt_tt_1,1,USA,1200000,2013,2,75
51,88,95,690,Adventure|Comedy|Drama,Marley Shelton,Grand Theft Parsons ,2953,1,guitar|hearse|manager|musician|singer,http://www.imdb.com/title/tt0338075/?ref_=fn_tt_tt_1,38,USA,,2003,316,480
14,76,227,387,Comedy,Rich Ceraulo,Extreme Movie ,9560,6,box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex,http://www.imdb.com/title/tt0806147/?ref_=fn_tt_tt_1,35,USA,,2008,295,636
24,100,94,843,Action|Adventure|Romance|War,Errol Flynn,The Charge of the Light Brigade ,3418,3,attack|fort|india|lancer|massacre,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,52,USA,1200000,1936,490,204
18,99,5,721,Thriller,Michael Berryman,Below Zero ,652,2,,http://www.imdb.com/title/tt1641388/?ref_=fn_tt_tt_1,11,Canada,1200000,2011,134,161
22,84,63,380,Action|Horror|Mystery|Thriller,Christie Burke,Crowsnest ,1321,0,forest|found footage|lost|murder|road trip,http://www.imdb.com/title/tt2180333/?ref_=fn_tt_tt_1,51,Canada,1200000,2012,91,238
9,91,117,584,Adventure|Comedy|Sport,Alanna Ubach,Airborne ,5061,0,cincinnati ohio|high school|hockey|jock strap|zoologist,http://www.imdb.com/title/tt0106233/?ref_=fn_tt_tt_1,70,USA,2600000,1993,399,0
30,97,148,586,Action|Comedy,Redd Foxx,Cotton Comes to Harlem ,1172,1,black cop|chase|cotton|four word title|new york city,http://www.imdb.com/title/tt0065579/?ref_=fn_tt_tt_1,27,USA,1200000,1970,434,477
9,84,475,10000,Horror,William McNamara,The Wicked Within ,742,0,after dark horrorfest,http://www.imdb.com/title/tt1943014/?ref_=fn_tt_tt_1,7,USA,1200000,2015,500,479
7,100,312,498,Horror,Seregon O'Dassey,Bleeding Hearts ,71,1,bare breasts|bra and panties|nudity|syringe,http://www.imdb.com/title/tt2622294/?ref_=fn_tt_tt_1,2,USA,1200000,2015,350,242
91,94,804,16000,Comedy,Ryan Reynolds,Waiting... ,76467,3,cook|dishwasher|flashing|male frontal nudity|waiter,http://www.imdb.com/title/tt0348333/?ref_=fn_tt_tt_1,236,USA,3000000,2005,1000,0
99,90,68,680,Crime|Drama|Thriller,Paddy Considine,Dead Man's Shoes ,39929,0,anger|army veteran|independent film|revenge|sex scene,http://www.imdb.com/title/tt0419677/?ref_=fn_tt_tt_1,207,UK,695393,2004,404,0
2,,206,511,Drama|Horror|Thriller,Richard Cawthorne,Wolf Creek             ,726,0,based on true story|blood|serial killer|slasher|tv mini series,http://www.imdb.com/title/tt4460878/?ref_=fn_tt_tt_1,6,Australia,,,457,954
57,92,147,448,Action|Drama|Horror|Thriller,Terry Kiser,From a Whisper to a Scream ,1324,0,bathtub|cult film|neck breaking|tennessee|wraparound story,http://www.imdb.com/title/tt0091671/?ref_=fn_tt_tt_1,37,USA,1100000,1987,426,241
12,105,,,Documentary|Drama,,Sex with Strangers ,285,0,bisexual|explicit sex|sex|stranger|swing,http://www.imdb.com/title/tt0304692/?ref_=fn_tt_tt_1,8,USA,,2002,,51
