actor_2_name,genres,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,budget,imdb_score
Ron Palillo,Horror|Thriller,Tony Goldwyn,1862,0,actual animal killed|death|jason voorhees|slasher flick|teen horror,http://www.imdb.com/title/tt0091080/?ref_=fn_tt_tt_1,USA,R,3000000,5.9
Sessue Hayakawa,Adventure|Drama|War,William Holden,1035,2,allies|bridge|construction|jungle|sabotage,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,UK,PG,3000000,8.2
Royal Dano,Adventure|Comedy|Sci-Fi,Ariana Richards,1441,1,alien|halloween|killer robot|outer space|wrestler costume,http://www.imdb.com/title/tt0100666/?ref_=fn_tt_tt_1,USA,PG,3000000,5.3
Bruce Dern,Comedy|Thriller,Ed Lauter,2811,1,actor|diamond|heir|kidnapping|ransom,http://www.imdb.com/title/tt0074512/?ref_=fn_tt_tt_1,USA,PG,4490375,6.8
Ray Walston,Comedy|Drama|Romance,Fred MacMurray,1328,2,apartment|elevator|elevator girl|love|mistress,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,USA,Approved,3000000,8.3
Leslie Jordan,Fantasy|Horror|Thriller,Kane Hodder,2899,0,brutality|evil|jason voorhees|paranormal phenomena|terror,http://www.imdb.com/title/tt0107254/?ref_=fn_tt_tt_1,USA,R,2500000,4.3
Lila Kedrova,Thriller,Tamara Toumanova,70,1,defection|east germany|germany|iron curtain|scientist,http://www.imdb.com/title/tt0061107/?ref_=fn_tt_tt_1,USA,Approved,6000000,6.7
Dave Chappelle,Comedy|Documentary|Music,Common,2165,0,block party|marching band|neighborhood|new york city|tyrannosaurus rex,http://www.imdb.com/title/tt0425598/?ref_=fn_tt_tt_1,USA,R,3000000,7.2
Kodi Smit-McPhee,Western,Michael Fassbender,14696,2,american west|bounty hunter|frontier|horse riding|outlaw,http://www.imdb.com/title/tt3205376/?ref_=fn_tt_tt_1,UK,R,,6.9
LisaGay Hamilton,Comedy|Drama|Music,Blair Underwood,1163,0,actress shares first name with character|bar|car wash|city|d.j.,http://www.imdb.com/title/tt0089444/?ref_=fn_tt_tt_1,USA,R,3000000,6.6
Donald Faison,Action|Comedy|Crime,Omari Hardwick,4815,3,cocaine|package|slow motion scene|topless female nudity|wrong address,http://www.imdb.com/title/tt1097013/?ref_=fn_tt_tt_1,USA,R,3000000,5.9
Jean Simmons,Drama,Shirley Jones,1444,1,1920s|evangelist|preacher|revival|traveling salesman,http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1,USA,Approved,3000000,7.9
Montgomery Clift,Drama|War,Maximilian Schell,3847,0,judge|law|nazi|nuremberg|war crime,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,USA,Not Rated,3000000,8.3
Deon Richmond,Comedy,Donald Faison,1936,3,apostrophe in title|bare breasts|female nudity|nude black woman|prom,http://www.imdb.com/title/tt0160298/?ref_=fn_tt_tt_1,USA,R,,5.2
Seth Green,Animation|Comedy,Matthew Senreich,11,0,celebrity|robot|satire|sketch comedy|stop motion animation,http://www.imdb.com/title/tt0437745/?ref_=fn_tt_tt_1,USA,TV-MA,,7.8
Walter Brennan,Action|Adventure|Romance|Western,Montgomery Clift,2269,0,cattle|cattle drive|cowboy|kansas|texas,http://www.imdb.com/title/tt0040724/?ref_=fn_tt_tt_1,USA,Approved,3000000,7.8
Jimmy Jean-Louis,Comedy,Mo'Nique,2321,0,female protagonist|size positive|thin|title directed by female|wet dream,http://www.imdb.com/title/tt0490196/?ref_=fn_tt_tt_1,USA,PG-13,3000000,3.0
Ariane Labed,Drama|Romance,Seamus Davey-Fitzpatrick,328,1,friend|greece|greek|hotel room|twin,http://www.imdb.com/title/tt2209418/?ref_=fn_tt_tt_1,USA,R,3000000,7.9
Robert Neary,Comedy|Fantasy,John Astin,1389,1,falling in love|glowing eyes|insult|teenager|three word title,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,USA,PG,3000000,3.2
A. Michael Baldwin,Action|Fantasy|Horror|Sci-Fi|Thriller,Angus Scrimm,1395,1,cemetery|female nudity|mortuary|sphere|tall man,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,USA,R,3000000,6.5
Kimberly Elise,Drama,Loretta Devine,3049,0,abuse|bishop|death|flashback|poverty,http://www.imdb.com/title/tt0399901/?ref_=fn_tt_tt_1,USA,R,,6.9
Lupe Ontiveros,Comedy|Drama,America Ferrera,2510,1,education|factory|high school|mexican american|religious icon,http://www.imdb.com/title/tt0296166/?ref_=fn_tt_tt_1,USA,PG-13,3000000,7.0
Jessica De Gouw,Drama|War,Rachel Griffiths,1400,0,gallipoli|tv mini series|world war one,http://www.imdb.com/title/tt3458030/?ref_=fn_tt_tt_1,Australia,,15000000,7.4
Lisa Ray,Drama|Romance,John Abraham,1394,0,ashram|india|love|tradition|widow,http://www.imdb.com/title/tt0240200/?ref_=fn_tt_tt_1,Canada,PG-13,,7.8
Jimi Mistry,Comedy|Drama,Archie Panjabi,1616,0,england|marriage|muslim|pakistani|salford,http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1,UK,R,1900000,6.9
Brian Van Holt,Comedy|Romance,Callie Thorne,858,1,dating|diner|masturbation|urination|washington square manhattan new york city,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,USA,R,3000000,4.4
