num_critic_for_reviews,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
285,852,34014398,Lin Shaye,Snakes on a Plane ,115649,2604,English,Germany,R,33000000,521,2.35,4000
103,18000,28927720,Keanu Reeves,The Watcher ,22220,18688,English,USA,R,33000000,223,1.85,463
192,669,33682273,Laura Harring,The Punisher ,124242,2114,English,USA,R,33000000,403,2.35,4000
90,722,4280577,Sean Pertwee,Goal! The Dream Begins ,50919,2859,English,USA,PG-13,10000000,580,2.35,0
258,26000,17120019,Jason Statham,Safe ,83097,27759,English,USA,R,30000000,828,2.35,12000
56,11000,8406264,Angelina Jolie Pitt,Pushing Tin ,24826,13093,English,USA,R,38000000,617,2.35,783
197,11000,309125409,Harrison Ford,Star Wars: Episode VI - Return of the Jedi ,681857,13649,English,USA,PG,32500000,1000,2.35,14000
254,165,10955425,Ryan Kruger,Doomsday ,62770,391,English,UK,R,30000000,107,2.35,0
299,14000,34180954,Kate Winslet,The Reader ,189812,14504,English,USA,R,32000000,388,1.85,15000
163,1000,17225675,Justin Theroux,Wanderlust ,62198,4151,English,USA,R,,945,1.85,0
152,22000,173381405,Peter Dinklage,Elf ,147597,43354,English,USA,PG,33000000,11000,1.85,21000
53,3000,104632573,Robert Duvall,Phenomenon ,63839,5975,English,USA,PG,32000000,941,2.35,0
67,773,81150692,James Coburn,Snow Dogs ,20219,2916,English,Canada,PG,35000000,664,1.85,0
88,13000,60328558,Bill Murray,Scrooged ,61396,18734,English,USA,PG-13,32000000,1000,1.85,11000
163,678,80197993,Ana de la Reguera,Nacho Libre ,65551,1729,English,Germany,PG,32000000,635,1.85,0
371,722,169076745,Matt Lucas,Bridesmaids ,218711,3229,English,USA,R,32500000,655,2.35,27000
418,17000,101470202,Channing Tatum,This Is the End ,310540,38751,English,USA,R,32000000,11000,2.35,97000
131,826,50041732,Nia Long,Stigmata ,54390,3004,English,USA,R,29000000,724,2.35,0
98,22000,48814909,Robert De Niro,Men of Honor ,89424,36069,English,USA,R,32000000,9000,2.35,0
119,23000,57744720,Paul Walker,Takers ,46961,31529,English,USA,PG-13,20000000,4000,2.35,0
133,49000,21784432,Robin Williams,The Big Wedding ,37493,74181,English,USA,R,35000000,22000,2.35,0
88,918,37911876,Brandon T. Jackson,Big Mommas: Like Father, Like Son ,19671,3500,English,USA,PG-13,32000000,845,2.35,0
522,15000,54696902,Jake Gyllenhaal,Source Code ,379462,16034,English,USA,PG-13,32000000,491,1.85,56000
43,344,36733909,Illeana Douglas,Alive ,38949,2054,English,USA,R,32000000,242,1.85,0
224,8000,35063732,Logan Lerman,The Number 23 ,164608,10938,English,USA,R,32000000,912,2.35,10000
122,716,99462,Callum Rennie,The Young and Prodigious T.S. Spivet ,11347,1843,English,France,PG,33000000,648,2.35,5000
56,16000,,Christopher Lee,1941 ,25193,20201,English,USA,PG,35000000,1000,2.35,2000
75,649,32701088,Ken Howard,Dreamer: Inspired by a True Story ,10018,1400,English,USA,PG,32000000,579,2.35,0
441,10000,31493782,Viggo Mortensen,A History of Violence ,186606,12754,English,USA,R,32000000,917,1.85,0
163,26000,43095600,Jason Statham,Transporter 2 ,156267,29050,English,France,PG-13,32000000,1000,2.35,0
63,29000,18636537,Leonardo DiCaprio,The Quick and the Dead ,69197,29743,English,Japan,R,32000000,165,1.85,0
90,638,17848322,Frances Fisher,Laws of Attraction ,18771,961,English,Ireland,PG-13,28000000,160,2.35,702
163,12000,16640210,Nicolas Cage,Bringing Out the Dead ,53028,13040,English,USA,R,55000000,368,2.35,0
197,1000,13763130,Alice Braga,Repo Men ,87768,2925,English,USA,R,32000000,561,2.35,12000
93,889,10956379,Robert Forster,Dragon Wars: D-War ,21506,3274,English,South Korea,PG-13,35000000,618,2.35,0
15,3000,4357000,Haley Joel Osment,Bogus ,5176,3864,English,USA,PG,30000000,359,1.85,350
260,12000,22525921,Steve Buscemi,The Incredible Burt Wonderstone ,60596,32094,English,USA,PG-13,30000000,10000,2.35,13000
18,3000,3562749,George Kennedy,Cats Don't Dance ,5600,7394,English,USA,G,32000000,2000,1.33,643
70,13000,2899970,Bill Murray,Cradle Will Rock ,8039,16878,English,USA,R,32000000,898,2.35,625
183,845,1304837,Tony Curran,The Good German ,21481,2355,English,USA,R,32000000,552,1.66,559
12,330,,Joan Plowright,George and the Dragon ,3088,1073,English,USA,PG,32000000,239,2.35,290
261,11000,78800000,Harrison Ford,Apocalypse Now ,450676,25313,English,USA,R,31500000,10000,2.35,19000
167,839,17797316,Rob Riggle,Going the Distance ,50523,2961,English,USA,R,32000000,730,2.35,0
42,975,82528097,Alicia Witt,Mr. Holland's Opus ,30230,2223,English,USA,PG,6500000,345,2.35,0
130,10000,14268533,Gary Oldman,Criminal ,17319,10910,English,UK,R,31500000,877,2.35,0
66,11000,87100000,Meryl Streep,Out of Africa ,52339,12518,English,USA,PG,31000000,920,1.85,0
449,18000,93749203,Denzel Washington,Flight ,264047,20952,English,USA,R,31000000,984,2.35,64000
121,244,62700000,Desmond Llewelyn,Moonraker ,69534,1008,English,UK,PG,34000000,202,2.35,0
536,13000,59073773,Bill Murray,The Grand Budapest Hotel ,475518,15082,English,USA,R,25000000,1000,1.37,149000
135,12000,24185781,Anthony Hopkins,Hearts in Atlantis ,30339,13811,English,USA,PG-13,31000000,495,2.35,0
74,687,53133888,Julian Sands,Arachnophobia ,50389,1440,English,USA,PG-13,31000000,151,1.85,0
168,2000,44983704,Dennis Quaid,Frequency ,81866,4045,English,USA,PG-13,31000000,702,2.35,0
464,783,118099659,Ed Begley Jr.,Ghostbusters ,69790,2097,English,USA,PG-13,144000000,370,2.35,62000
204,26000,58879132,Chris Hemsworth,Vacation ,66123,40312,English,USA,R,31000000,12000,2.35,28000
96,848,72077000,Delroy Lindo,Get Shorty ,62986,3439,English,USA,R,30250000,808,1.85,0
223,539,170684505,Colm Feore,Chicago ,172080,813,English,USA,PG-13,45000000,151,1.85,0
112,12000,163479795,Steve Buscemi,Big Daddy ,161858,26760,English,USA,PG-13,34200000,11000,1.85,0
142,3000,145096820,Alyson Hannigan,American Pie 2 ,200260,7872,English,USA,R,30000000,1000,1.85,0
166,15000,191796233,Tom Hanks,Toy Story ,623757,19046,English,USA,G,30000000,1000,1.85,0
114,18000,121248145,Keanu Reeves,Speed ,260981,20966,English,USA,R,25000000,946,2.35,0
214,17000,125014030,Channing Tatum,The Vow ,145852,18322,English,USA,PG-13,30000000,359,2.35,32000
126,11000,11854694,Harrison Ford,Extraordinary Measures ,14281,17560,English,USA,PG,31000000,3000,1.85,0
157,33000,115648585,Ryan Gosling,Remember the Titans ,160776,54877,English,USA,PG,30000000,18000,2.35,0
104,826,122012643,Scott Glenn,The Hunt for Red October ,143696,2575,English,USA,PG,30000000,692,2.35,0
304,15000,116631310,Alex Pettyfer,Lee Daniels' The Butler ,87665,20035,English,USA,PG-13,30000000,1000,1.85,41000
191,989,114324072,Gary Cole,Dodgeball: A True Underdog Story ,185338,4730,English,USA,PG-13,20000000,939,2.35,0
55,1000,113502246,Anjelica Huston,The Addams Family ,96607,3696,English,USA,PG-13,38000000,1000,1.85,5000
59,531,108360000,Bruce Spence,Ace Ventura: When Nature Calls ,160321,2203,English,USA,PG-13,30000000,461,2.35,0
108,11000,108244774,Anne Hathaway,The Princess Diaries ,94049,13645,English,USA,G,37000000,995,1.85,0
50,944,105444419,Stockard Channing,The First Wives Club ,31817,3143,English,USA,PG,26000000,893,1.85,0
216,11000,100125340,Morgan Freeman,Se7en ,1023511,22678,English,USA,R,33000000,11000,2.35,39000
472,2000,115646235,Sharlto Copley,District 9 ,531737,2639,English,South Africa,R,30000000,433,1.85,22000
89,19000,85416609,Scarlett Johansson,The SpongeBob SquarePants Movie ,58906,20097,English,USA,PG,30000000,542,1.85,0
229,616,90135191,John Doman,Mystic River ,338415,1942,English,USA,R,25000000,541,2.35,12000
268,16000,100422786,Clint Eastwood,Million Dollar Baby ,482064,28830,English,USA,PG-13,30000000,11000,2.35,14000
145,22000,106694016,Robert De Niro,Analyze This ,123940,24333,English,USA,R,30000000,979,1.85,0
