movie_imdb_link,num_user_for_reviews,movie_facebook_likes
http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,41,419
http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,327,1000
http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,238,838
http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,52,0
http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,81,0
http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,54,748
http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,56,0
http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,27,313
http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,63,215
http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,76,1000
http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,314,0
http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,24,0
http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,21,0
http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,47,124
http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,45,375
http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,1,348
http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,94,484
http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,14,0
http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,6,135
http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,57,0
http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,44,0
http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,45,128
http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,44,0
http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,14,120
http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,42,3000
http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,93,0
http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,64,0
http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,57,458
http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,39,0
http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,33,0
http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,196,0
http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,73,2000
http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,38,0
http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,339,19000
http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,226,0
http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,52,1000
http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,41,0
http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1,186,0
http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,14,278
http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,441,0
http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1,117,0
http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,116,8000
http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,308,0
http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1,57,0
http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,17,387
http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,110,0
http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1,235,27000
http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,113,0
http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,312,18000
http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,140,196
http://www.imdb.com/title/tt0795434/?ref_=fn_tt_tt_1,47,341
http://www.imdb.com/title/tt0460989/?ref_=fn_tt_tt_1,222,0
http://www.imdb.com/title/tt2178470/?ref_=fn_tt_tt_1,102,0
http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,235,0
http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,90,1000
http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1,259,8000
http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1,159,467
http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,2195,45000
http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1,92,0
http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1,552,65000
http://www.imdb.com/title/tt0331953/?ref_=fn_tt_tt_1,201,713
http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,406,15000
http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,99,0
http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,889,15000
http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,584,24000
http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,1441,11000
http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,247,0
http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,142,0
http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,60,0
http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,14,559
http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,378,40000
http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1,148,0
http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,211,0
