num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,language,content_rating,imdb_score,aspect_ratio
169,41,847,9639242,Olivia Munn,16437,5470,Jessica Szohr,68,English,PG-13,4.9,1.85
365,192,847,25003072,Adam Scott,72552,5737,Jessica Szohr,374,English,R,5.5,2.35
113,18000,286,6144806,Kevin Spacey,12821,23689,Brenda Blethyn,248,English,PG-13,6.7,2.35
18,9,254,4308981,Paul Walker,2265,24436,A.J. Langer,37,English,PG,3.9,
10,18,73,669276,Donald Pleasence,2541,1088,Clive Revill,47,English,G,7.2,2.35
16,6,382,42880,Robert De Niro,2919,23769,Geraldine Chaplin,50,English,PG,5.1,1.85
196,88,706,23225911,Dwayne Johnson,80574,14699,Mike Epps,157,English,R,6.5,2.35
212,6000,422,4710455,Christian Bale,214091,24263,Jean Simmons,330,Japanese,PG,8.2,1.85
445,181,11,75590286,Emma Stone,386217,28011,Derek Graf,553,English,R,7.7,2.35
446,0,84,218051260,Naomi Watts,316020,7122,Evan Parke,2618,English,PG-13,7.2,2.35
108,153,427,161487252,Adam Sandler,119450,13823,Peter Dante,300,English,PG-13,6.1,1.85
223,883,441,290158751,Harrison Ford,837759,12643,Anthony Daniels,900,English,PG,8.8,2.35
63,0,244,65807024,Will Smith,172405,11013,Theresa Randle,203,English,R,6.8,1.85
43,119,144,86930411,George Kennedy,83269,3847,O.J. Simpson,87,English,PG-13,6.8,1.85
211,70,591,53302314,Daniel Roebuck,181058,3345,Kerr Smith,674,English,R,6.7,1.85
421,0,1000,40962534,Ryan Gosling,188652,57077,Jennifer Ehle,288,English,R,7.1,2.35
214,123,787,39235088,Vin Diesel,193962,16196,Cole Hauser,805,English,R,7.1,2.35
92,956,99,27338033,Hugh Jackman,19709,20798,Catherine Dent,167,English,PG-13,6.1,1.85
574,0,105,25556065,Scarlett Johansson,355126,19359,Matt Letscher,748,English,R,8.0,1.85
216,452,141,15785632,Hugh Jackman,32513,21195,Tim McInnerny,119,English,PG-13,7.5,2.35
140,131,62,21973182,Paul Walker,53415,23242,Dell Yount,339,English,R,6.6,2.35
28,3,88,4756,Ioan Gruffudd,4191,2450,Oliver Stark,32,English,PG,5.4,2.35
36,61,407,18653615,Natalie Portman,14786,22040,Shawn Hatosy,103,English,PG-13,6.1,2.35
65,3,120,12189514,Annabella Sciorra,30092,829,Terence Maynard,129,English,PG-13,6.1,2.35
53,12,249,13019253,Seymour Cassel,3914,1509,Lainie Kazan,47,English,PG-13,5.6,1.85
394,0,947,18934858,Channing Tatum,72646,31187,Michael Angarano,397,English,R,5.8,2.35
80,114,434,20763013,Judith Barsi,30840,2355,Lynn Whitfield,383,English,PG-13,2.8,2.35
45,4,11000,12782508,Leonardo DiCaprio,20163,63194,Meryl Streep,71,English,PG-13,6.7,1.85
47,258,424,11508423,Tasha Smith,3174,2453,Garrett Morris,19,English,PG,5.1,2.35
90,277,57,10660147,Stephen Rea,17740,672,James Bolam,165,English,R,7.2,1.85
30,23,982,7434726,Vanessa Williams,14473,3671,Don Johnson,81,English,R,6.0,1.85
