num_critic_for_reviews,gross,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,content_rating,aspect_ratio
543,54239856,Evil Dead ,673,Ellen Sandweiss,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,789,R,2.35
112,8662318,My Life in Ruins ,2016,Rachel Dratch,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,75,PG-13,1.85
153,7156725,American Dreamz ,5992,Chris Klein,http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,217,PG-13,1.85
94,15681020,Superman IV: The Quest for Peace ,3007,William Hootkins,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,259,PG,2.35
62,7070459,How She Move ,760,Conrad Coates,http://www.imdb.com/title/tt0770810/?ref_=fn_tt_tt_1,18,PG-13,1.85
157,6855137,Running Scared ,27381,Ivana Milicevic,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,419,R,2.35
35,2694071,Bobby Jones: Stroke of Genius ,1727,Paul Freeman,http://www.imdb.com/title/tt0375104/?ref_=fn_tt_tt_1,64,PG,2.35
21,2315683,Shanghai Surprise ,805,Clyde Kusatsu,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,28,PG-13,1.85
236,39825798,The Illusionist ,4210,Jake Wood,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,645,PG-13,1.85
50,2000000,Roar ,1262,Zakes Mokae,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,27,PG,2.35
106,1569918,Veronica Guerin ,409,Gerard McSorley,http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1,113,R,2.35
106,106869,Escobar: Paradise Lost ,14492,Carlos Bardem,http://www.imdb.com/title/tt2515030/?ref_=fn_tt_tt_1,39,R,
173,273420,Southland Tales ,2340,Chris Andrew Ciulla,http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1,238,R,2.35
41,,Dragon Hunters ,1364,Mary Mouser,http://www.imdb.com/title/tt0944834/?ref_=fn_tt_tt_1,39,PG,
41,,Damnation Alley ,1769,Paul Winfield,http://www.imdb.com/title/tt0075909/?ref_=fn_tt_tt_1,71,PG,2.35
145,4930798,The Apparition ,730,Tim Williams,http://www.imdb.com/title/tt1433822/?ref_=fn_tt_tt_1,108,PG-13,2.35
31,59847242,My Girl ,5433,Griffin Dunne,http://www.imdb.com/title/tt0102492/?ref_=fn_tt_tt_1,115,PG-13,1.85
105,220914,Fur: An Imaginary Portrait of Diane Arbus ,25173,Matt Servitto,http://www.imdb.com/title/tt0422295/?ref_=fn_tt_tt_1,97,R,1.85
236,39825798,The Illusionist ,4210,Jake Wood,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,645,PG-13,1.85
114,43848100,Wall Street ,1607,James Karen,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,219,R,1.85
69,42700000,Sense and Sensibility ,41059,Tom Wilkinson,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,196,PG,1.85
150,18663911,Becoming Jane ,12554,Laurence Fox,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,151,PG,2.35
72,11702090,Sydney White ,2785,Samm Levine,http://www.imdb.com/title/tt0815244/?ref_=fn_tt_tt_1,50,PG-13,2.35
158,13005485,House of Sand and Fog ,2282,Ron Eldard,http://www.imdb.com/title/tt0315983/?ref_=fn_tt_tt_1,469,R,1.85
96,95860116,Dead Poets Society ,51609,Kurtwood Smith,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,491,PG,1.85
84,127175354,Dumb & Dumber ,2985,Teri Garr,http://www.imdb.com/title/tt0109686/?ref_=fn_tt_tt_1,438,PG-13,1.85
114,92823600,When Harry Met Sally... ,485,Harley Jane Kozak,http://www.imdb.com/title/tt0098635/?ref_=fn_tt_tt_1,273,R,1.85
79,54000000,The Verdict ,2330,Jack Warden,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,154,R,1.85
103,68525609,Road Trip ,3889,Paulo Costanzo,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,302,R,1.85
67,52885587,Varsity Blues ,23369,Mark Walters,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,267,R,1.85
576,44667095,The Artist ,4606,Beth Grant,http://www.imdb.com/title/tt1655442/?ref_=fn_tt_tt_1,583,PG-13,1.33
178,42638165,The Unborn ,12183,Rachel Brosnahan,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,230,PG-13,2.35
487,45507053,Moonrise Kingdom ,27911,Bob Balaban,http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1,377,PG-13,1.85
