actor_3_facebook_likes,gross,cast_total_facebook_likes,actor_3_name
236,90755643,16149,Reece Ritchie
919,101785482,19166,Larry Joe Campbell
581,352358779,2593,Kevin Dunn
1000,317011114,14959,Jim Broadbent
113,123070338,696,Peter Sohn
838,237282182,5005,Julie Walters
105,130468626,1327,Lydia Wilson
522,223806889,2975,Jeff Garlin
173,140080850,1125,Noémie Lenoir
310,166112167,2144,Tom McCarthy
10000,137850096,48878,Gary Oldman
13000,47375327,47334,Eddie Redmayne
103,124051759,21175,Casper Crump
82,291709845,1317,Shane Rangi
1000,154985087,49684,Tye Sheridan
11000,533316061,57802,Morgan Freeman
262,292979556,2635,Jess Harnell
459,198332128,2579,Stephen Colbert
4000,318298180,39252,Jon Favreau
1000,73820094,36017,Ray Winstone
582,113745408,15870,Bai Ling
595,102176165,9131,Russell Wong
329,161087183,11287,Ike Barinholtz
7000,100289690,108016,Steve Carell
509,100189501,12652,Noah Taylor
60,88246220,1004,Zakes Mokae
570,150167630,26683,Leo Howard
384,356454367,2944,Phyllis Smith
591,362645141,32921,Garry Shandling
4000,312057433,48638,Jon Favreau
11000,155111815,72881,Sam Claflin
846,241407328,15516,Sam Riley
884,208543795,14363,Kodi Smit-McPhee
283,,1982,Bipasha Basu
982,38297305,20965,Jin Akanishi
2000,259746958,36188,Hayley Atwell
213,238371987,4628,Mary Kay Place
604,93417865,5046,Thomas Robinson
562,222487711,2963,Abraham Benrubi
833,189412677,4451,Joe Lo Truglio
267,665426,16264,Peter Scolari
535,102315545,3233,Judd Hirsch
759,217387997,20453,Craig Ferguson
191,150350192,1769,Carolyn Hennesy
3000,333130696,32438,Djimon Hounsou
6000,187991439,31488,Mackenzie Foy
23000,292568851,81115,Joseph Gordon-Levitt
12,,699,Atsuko Maeda
773,303001229,9152,James Nesbitt
4000,144512310,45327,Jordana Brewster
919,127490802,13333,Julia Ormond
1000,146405371,50983,Oliver Platt
14000,281666058,81385,Josh Hutcherson
370,63143812,13388,Robert Capron
702,60655503,92456,Andre Braugher
11000,76846624,80806,Anne Hathaway
692,320706665,4705,Rupert Everett
648,46978995,5505,Ruth Negga
2000,89732035,38873,Matt Smith
59,104383624,764,Laura Brent
691,198539855,5401,Mako
581,318759914,2333,Kevin Dunn
591,34293771,24598,Brian Blessed
687,292000866,33433,Fiona Shaw
10000,289994397,53413,Rupert Grint
979,227946274,21584,Eddie Marsan
558,256386216,13076,Willow Smith
588,206456431,57844,David Kelly
954,206435493,4764,Brian Dennehy
11000,205343774,59558,Morgan Freeman
436,179982968,3285,Cedric the Entertainer
1000,177243721,54039,Steve Coogan
2000,179883016,40054,Dominic Monaghan
233,139259759,1062,Nona Gaye
490,400736600,2582,Livvy Stubenrauch
30,281492479,534,Helmut Bakaitis
12000,206360018,59803,Anthony Hopkins
943,153629485,40025,Zoë Kravitz
