num_critic_for_reviews,movie_title,cast_total_facebook_likes,plot_keywords,country,content_rating,budget,title_year
42,Mr. Holland's Opus ,2223,1990s|high school|high school teacher|teacher inspires students|teaching,USA,PG,6500000,1995
130,Criminal ,10910,cia|husband wife relationship|memory|tied up while barefoot|violence,UK,R,31500000,2016
66,Out of Africa ,12518,africa|hunter|love|marriage|plantation,USA,PG,31000000,1985
449,Flight ,20952,airline|flight|flight attendant|lawyer|pilot,USA,R,31000000,2012
121,Moonraker ,1008,astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747,UK,PG,34000000,1979
536,The Grand Budapest Hotel ,15082,first person narration|hotel|lobby boy|mentor protege relationship|painting,USA,R,25000000,2014
135,Hearts in Atlantis ,13811,based on multiple works|bully|kiss|memory|mysterious stranger,USA,PG-13,31000000,2001
74,Arachnophobia ,1440,arachnophobia|death|doctor|small town|spider,USA,PG-13,31000000,1990
168,Frequency ,4045,altering history|alternate history|amateur radio|ham radio|paranormal phenomena,USA,PG-13,31000000,2000
464,Ghostbusters ,2097,ghost|ghostbuster|ghostbusters|male objectification|reboot,USA,PG-13,144000000,2016
204,Vacation ,40312,amusement park|dysfunctional family|road trip|sequel|vacation,USA,R,31000000,2015
96,Get Shorty ,3439,debt|loan shark|mobster|movie business|producer,USA,R,30250000,1995
223,Chicago ,813,fame|jail|jazz age|murder|vaudeville,USA,PG-13,45000000,2002
112,Big Daddy ,26760,homosexual|law|law school|responsibility|vomiting,USA,PG-13,34200000,1999
142,American Pie 2 ,7872,beach|beach house|college|party|student,USA,R,30000000,2001
166,Toy Story ,19046,claw crane|cowboy|jealousy|rivalry|toy,USA,G,30000000,1995
114,Speed ,20966,bomb|bus|elevator|explosive|rescue,USA,R,25000000,1994
214,The Vow ,18322,car accident|life support|memory loss|trauma|voice recording,USA,PG-13,30000000,2012
126,Extraordinary Measures ,17560,cure|disease|imagination|race against time|venture capital,USA,PG,31000000,2010
157,Remember the Titans ,54877,american football|based on true story|head coach|high school|school,USA,PG,30000000,2000
104,The Hunt for Red October ,2575,analyst|defection|navy|soviet submarine|submarine,USA,PG,30000000,1990
304,Lee Daniels' The Butler ,20035,butler|civil rights|hotel|president|white house,USA,PG-13,30000000,2013
191,Dodgeball: A True Underdog Story ,4730,dodgeball|gym|las vegas|pirate|ups,USA,PG-13,20000000,2004
55,The Addams Family ,3696,accountant|loan shark|macabre|uncle|uncle fester,USA,PG-13,38000000,1991
59,Ace Ventura: When Nature Calls ,2203,africa|bat|hawaiian shirt|pregnancy|pregnant,USA,PG-13,30000000,1995
108,The Princess Diaries ,13645,cinderella story|fish out of water|makeover|manners|princess,USA,G,37000000,2001
50,The First Wives Club ,3143,cult film|female therapist|revenge|revenge motive|therapy session,USA,PG,26000000,1996
216,Se7en ,22678,detective|police partner|serial killer|serial murder|seven deadly sins,USA,R,33000000,1995
472,District 9 ,2639,alien|ghetto|prawn|refugee|refugee camp,South Africa,R,30000000,2009
89,The SpongeBob SquarePants Movie ,20097,based on tv series|crown|dream|king neptune|plankton,USA,PG,30000000,2004
229,Mystic River ,1942,ballistics|detective|friend|gun|sexual abuse,USA,R,25000000,2003
268,Million Dollar Baby ,28830,boxing|boxing trainer|death|suicide attempt|women boxing,USA,PG-13,30000000,2004
145,Analyze This ,24333,analyst|mafia|patient|psychiatrist|wedding,USA,R,30000000,1999
177,The Notebook ,34495,class differences|letter|nursing home|second chance|summer love,USA,PG-13,29000000,2004
175,27 Dresses ,2978,boss|bridesmaid|friend|love|wedding,USA,PG-13,30000000,2008
131,Hannah Montana: The Movie ,4516,farm|female protagonist|hannah montana|horseback riding|overalls,USA,G,30000000,2009
41,Rugrats in Paris: The Movie ,4527,amusement park|baby|france|paris france|villain,Germany,G,30000000,2000
30,The Prince of Tides ,1936,new york|psychiatrist|shrimper|south carolina|twins,USA,R,30000000,1991
57,Legends of the Fall ,26388,epic|heart|killing an animal|passion|usa,USA,R,30000000,1994
391,Up in the Air ,35209,airport|business trip|downsizing|on the road|travel,USA,R,25000000,2009
217,About Schmidt ,1556,highway travel|on the road|retirement|road movie|wedding,USA,R,30000000,2002
452,Warm Bodies ,337,fight|memory|teenager|undead|zombie,USA,PG-13,35000000,2013
589,Looper ,37387,chase|future|surprise ending|time loop|time travel,USA,R,30000000,2012
61,Down to Earth ,2911,angel|butler|heaven|manhattan new york city|reincarnation,USA,PG-13,30000000,2001
79,Babe ,1185,dog|farmer|pig|sheep|sheepdog,Australia,G,30000000,1995
234,Hope Springs ,19420,couple|intimacy|marriage|marriage counseling|middle age couple,USA,PG-13,30000000,2012
253,Forgetting Sarah Marshall ,16758,breakup|hawaii|hotel|male full frontal nudity|resort,USA,R,30000000,2008
51,Friday Night Lights             ,3418,football|football coach|high school|small town|texas,USA,TV-14,,
123,Four Brothers ,2740,bare butt|corrupt police|four brothers|funeral|murder,USA,R,45000000,2005
145,Baby Mama ,6930,baby|book|cartoon on tv|female protagonist|male anorexia,USA,PG-13,30000000,2008
65,Hope Floats ,2860,best friend|friend|mother daughter relationship|small town|texas,USA,PG-13,30000000,1998
152,Bride Wars ,13794,best friend|dyed hair|fake tan|rivalry|wedding,USA,PG,30000000,2009
94,Without a Paddle ,1266,death|friend|hijacker|river|tree house,USA,PG-13,19000000,2004
119,13 Going on 30 ,6742,13 year old|13th birthday|30 year old|wish|year 1987,USA,PG-13,37000000,2004
487,Midnight in Paris ,1289,1920s|golden age|midnight|paris france|time travel romance,Spain,PG-13,17000000,2011
121,The Nut Job ,18795,bank robbery|heist|raccoon|rat|squirrel,Canada,PG,42000000,2014
147,Blow ,43453,1960s|1970s|california|cocaine|wealth,USA,R,30000000,2001
85,Message in a Bottle ,19815,beach|bottle|jogging|letter|love,USA,PG-13,55000000,1999
98,Star Trek V: The Final Frontier ,14710,captain|half brother|klingon|planet|vulcan,USA,PG,27800000,1989
39,Like Mike ,3679,basketball|lightning|nba|orphanage|shoe,USA,PG,30000000,2002
43,Naked Gun 33 1/3: The Final Insult ,4767,retirement|spoof|terrorist|transsexual|undercover,USA,PG-13,30000000,1994
108,A View to a Kill ,2943,computer|earthquake|microchip|official james bond series|silicon valley,UK,PG,30000000,1985
209,The Curse of the Were-Rabbit ,1145,competition|giant vegetable|pest control|stop motion animation|vegetable,UK,G,30000000,2005
131,P.S. I Love You ,18726,birthday|friendship|hairy chest|letter|widow,USA,PG-13,30000000,2007
73,Racing Stripes ,2910,farm|horse|kentucky|racehorse|zebra,USA,PG,,2005
316,Atonement ,20499,death of sister|dying|loss of virginity|septicemia|sex,UK,R,30000000,2007
159,Letters to Juliet ,1026,chick flick|female protagonist|italian stereotype|man in a swimsuit|verona italy,USA,PG,30000000,2010
63,Black Rain ,1748,counterfeit|detective|japan|police chase|yakuza,USA,R,30000000,1989
162,The Three Stooges ,6137,mule|nun|orphanage|tennis court|the three stooges,USA,PG,,2012
267,Corpse Bride ,60683,arranged marriage|bride|corpse|groom|woods,USA,PG,40000000,2005
95,Glory Road ,2577,coach|college basketball|national championship|ncaa|texas,USA,PG,,2006
478,Sicario ,1467,critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs,USA,R,30000000,2015
305,Southpaw ,16881,boxer|boxing training|death of wife|male in shower|rage,USA,R,30000000,2015
397,Drag Me to Hell ,5642,evil|fight|hell|psychic|psychologist,USA,PG-13,30000000,2009
214,The Age of Adaline ,15327,hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california,USA,PG-13,25000000,2015
82,Secondhand Lions ,9638,africa|eyeglasses|money|texas|veteran,USA,PG,30000000,2003
138,Step Up 3D ,4059,dance|dance crew|dancer|mortgage|new york city,USA,PG-13,30000000,2010
69,Blue Crush ,1165,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,USA,PG-13,30000000,2002
253,Stranger Than Fiction ,8362,author|fate|novelist|professor|writer,USA,PG-13,38000000,2006
304,30 Days of Night ,814,alaska|small town|snow|vampire|winter,USA,R,32000000,2007
634,The Cabin in the Woods ,29551,cabin in the woods|dark humor|hatchet|killed in an elevator|robot,USA,R,30000000,2012
111,Meet the Spartans ,3854,king|persian|spartan|training|xerxes,USA,PG-13,30000000,2008
77,Midnight Run ,23866,accountant|bounty hunter|fbi|mafia|mob,USA,R,30000000,1988
120,The Running Man ,2373,game of death|government conspiracy|latina|oppression|police,USA,R,27000000,1987
63,Little Shop of Horrors ,15308,eclipse|florist|nerd|plant|shop,USA,PG-13,25000000,1986
417,Hanna ,257,assassin|female warrior|martial arts|playground|training,USA,PG-13,30000000,2011
9,The Family             ,3295,family drama|lie|missing child|political campaign|secret,USA,TV-PG,,
59,Mortal Kombat: Annihilation ,2266,alternate reality|battle|martial arts|mortal kombat|warrior,USA,PG-13,30000000,1997
218,Larry Crowne ,16827,bus stop|college|community college|scooter|speech class,USA,PG-13,30000000,2011
359,Carrie ,20051,outcast|prom|self injury|telekinesis|tragic event,USA,R,30000000,2013
101,Take the Lead ,3797,ballroom|dance|dance teacher|student|teacher,USA,PG-13,30000000,2006
52,Entourage             ,2867,actor|fame|friendship between men|hollywood california|sitcom,USA,TV-MA,,
85,Gridiron Gang ,15811,alliterative title|football|football coach|football practice|football team,USA,PG-13,30000000,2006
64,What's the Worst That Could Happen? ,3664,businessman|ring|thief|vulgarity|washington d.c.,USA,PG-13,45000000,2001
263,9 ,1594,hope|key|machine|number|rag doll,USA,PG-13,30000000,2009
450,Side Effects ,18469,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,USA,R,30000000,2013
85,The Prince and Me ,3239,denmark|king|love|prince|wisconsin,USA,PG,,2004
162,Winnie the Pooh ,1002,disney|owl|rabbit|sequel|tiger,USA,G,30000000,2011
85,Dumb and Dumberer: When Harry Met Lloyd ,1653,1980s|buddy|high school|prequel to cult favorite|teenager,USA,PG-13,19000000,2003
