actor_1_facebook_likes,actor_2_facebook_likes
307,209
2000,710
282,255
13000,11000
1000,1000
890,848
16000,12000
94,62
16000,34
61,9
1000,330
268,44
,
49000,931
34,29
3,2
690,316
387,295
843,490
721,134
380,91
584,399
586,434
10000,500
498,350
16000,1000
680,404
511,457
448,426
,
14,4
412,48
434,95
1000,342
1000,745
12,0
2000,607
12,5
964,22
844,184
13000,1000
321,287
2000,826
883,269
707,305
22000,745
1000,823
650,275
1000,466
266,209
634,420
1000,989
43,3
33000,2000
2000,508
403,169
503,46
356,110
861,68
183,102
543,426
640,550
202,47
422,374
37,3
544,264
22000,472
24000,3000
3000,439
321,300
612,457
496,238
130,19
21000,104
778,695
1000,891
783,659
1000,826
1000,282
2000,1000
245,38
957,81
353,186
1000,898
406,203
11000,552
611,394
638,400
844,625
11000,733
20,13
1000,835
7000,71
855,577
873,559
3,3
141,125
102,7
12,3
978,922
53,24
20,8
260000,984
724,668
969,962
443,298
499,230
590,231
96,71
2000,571
386,261
262,163
446,171
975,645
491,490
639,361
563,288
474,436
327,9
7,5
442,403
782,490
363,275
984,157
694,196
767,282
34000,17000
1000,618
199,37
458,383
90,0
898,395
592,207
10000,854
224,59
335,334
92,17
57,40
677,366
214,211
657,608
3000,1000
754,605
696,371
775,275
529,413
1000,569
56,28
10000,416
945,756
131,60
1000,171
109,8
982,796
144,127
282,270
975,947
16,12
465,140
12000,1000
23000,813
0,0
904,782
938,904
904,517
284,234
418,146
489,207
1000,806
786,712
49,11
