director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
Miguel Arteta,212,87,727,Stephen Root,1000,Comedy,Cedar Rapids ,32697,1,award|cedar rapids iowa|convention|hotel|insurance,85,English,R,,2011,939,0
,68,40,476,T.J. Thyne,1000,Comedy|Crime|Drama|Mystery|Romance,Bones             ,111506,2,anthropologist|fbi|fbi agent|forensics|investigation,173,English,TV-14,,,722,0
Tony Kaye,162,101,602,Beverly D'Angelo,1000,Crime|Drama,American History X ,782437,2,curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist,1420,English,R,7500000,1998,816,35000
Marcus Dunstan,147,82,444,Johanna Braddy,1000,Action|Horror|Thriller,The Collection ,36029,0,booby trap|brainwashing|mercenary|serial killer|trap,99,English,R,10000000,2012,581,14000
Timothy Björklund,33,74,719,Kelsey Grammer,886,Animation|Comedy|Family|Fantasy|Musical,Teacher's Pet ,1231,0,dog|florida|mad scientist|school|teacher,26,English,PG,10000000,2004,808,49
François Girard,94,130,2,Clotilde Mollet,24,Drama|Music|Mystery|Romance,The Red Violin ,26832,3,auction|montreal|secret|violin|violinist,247,French,R,10000000,1998,3,0
David Lynch,143,112,201,Richard Farnsworth,874,Biography|Drama,The Straight Story ,63733,0,cane|iowa|lawn mower|tractor|wisconsin,414,English,G,10000000,1999,262,0
Scott Kalvert,38,96,934,James Franco,12000,Action|Crime|Drama,Deuces Wild ,6200,1,1950s|drug overdose|gang|gang war|new york city,92,English,R,10000000,2002,11000,398
Jason Bateman,126,89,322,Philip Baker Hall,628,Comedy|Drama,Bad Words ,38459,0,directed by star|indian american|spelling|spelling bee|two word title,119,English,R,10000000,2013,497,0
David Schwimmer,168,100,231,Iddo Goldberg,427,Comedy|Romance|Sport,"Run, Fatboy, Run ",58509,0,blister|gym|marathon|training|wedding,143,English,PG-13,,2007,269,0
Allan Arkush,19,78,378,Randy Quaid,753,Comedy|Sci-Fi,Heartbeeps ,1040,0,escape|fish out of water|love|robot|servant,31,English,PG,10000000,1981,695,425
Mike Binder,91,121,664,Gillian Jacobs,1000,Drama,Black or White ,8058,2,color in title,57,English,PG-13,9000000,2014,837,0
Eric Bross,46,85,401,Tamala Jones,719,Comedy|Family|Romance,On the Line ,3662,2,based on short film|chicago illinois|el train|love|train,79,English,PG,16000000,2001,405,0
Werner Herzog,198,120,294,Toby Huss,23000,Adventure|Biography|Drama|War,Rescue Dawn ,84641,0,bombing|guard|jungle|laos|prisoner,205,English,PG-13,10000000,2006,342,0
Dan Fogelman,139,106,970,Jennifer Garner,14000,Comedy|Drama|Music,Danny Collins ,20810,0,entertainer|inspiration|lost opportunity|pregnant mother|rock star,100,English,R,10000000,2015,3000,0
Jay Duplass,182,83,581,Evan Ross,2000,Comedy|Drama,"Jeff, Who Lives at Home ",56005,5,basement|errand|secret admirer|slacker|wrong number,112,English,R,10000000,2011,616,0
Luca Guadagnino,181,120,72,Waris Ahluwalia,144,Drama|Romance,I Am Love ,14031,1,chef|friend|italy|restaurant|russian,114,Italian,R,10000000,2009,110,0
John Putch,23,111,699,Diedrich Bader,823,Drama|Mystery|Sci-Fi,Atlas Shrugged II: The Strike ,5612,0,box office flop|critically bashed|government|industrialist|railroad,122,English,PG-13,10000000,2012,759,0
Peter Medak,30,100,541,Michael Wincott,10000,Action|Crime|Drama|Thriller,Romeo Is Bleeding ,10735,1,detective|police|protection|russian|sergeant,88,English,R,11500000,1993,721,561
Steven Soderbergh,111,89,132,Lesley Ann Warren,402,Crime|Drama|Mystery|Thriller,The Limey ,24412,0,daughter|englishman|ex con|revenge|young woman,240,English,R,9000000,1999,296,944
Paul Haggis,287,115,911,Loretta Devine,3000,Crime|Drama|Thriller,Crash ,361169,0,race relations|racism|racist|social problem|stereotype,1624,English,R,6500000,2004,912,18000
Terence Davies,96,135,553,Anthony LaPaglia,902,Drama|Romance,The House of Mirth ,6377,0,high society|love|money|reputation|wealth,181,English,PG,10000000,2000,576,345
Harley Cokeliss,27,92,311,Tracey Walter,754,Action|Drama|Thriller,Malone ,1768,4,assassin|box office flop|cia|farmer|power,37,English,R,10000000,1987,324,208
Victor Salva,44,120,400,Tim DeKay,634,Drama|Romance|Sport,Peaceful Warrior ,20426,1,college|college athlete|comeback|gymnast|olympics,175,English,PG-13,10000000,2006,436,0
Tom Brady,49,97,269,Kevin Nealon,982,Comedy,Bucky Larson: Born to Be a Star ,9541,1,diner|eating a banana|masturbation|porn star|shooting a pornographic movie,64,English,R,10000000,2011,503,0
Spike Lee,57,135,851,Michael Rapaport,1000,Comedy|Drama|Music,Bamboozled ,8720,0,actor|minstrel show|protest|success|writer,186,English,R,10000000,2000,975,1000
Jason Zada,185,93,4,Stephanie Vogt,533,Horror|Mystery|Thriller,The Forest ,20837,1,forest|japan|suicide|suicide forest|supernatural,127,English,PG-13,10000000,2016,35,10000
Franklin J. Schaffner,2,118,249,William Hootkins,902,Adventure|Mystery|Thriller,Sphinx ,892,0,bat|curse|egyptologist|mummy|murder,21,English,PG,14000000,1981,488,106
Noah Baumbach,270,97,64,Maria Dizzia,6000,Comedy|Drama,While We're Young ,30325,2,documentary filmmaker|documentary filmmaking|father in law|generation z|hipster,96,English,R,10000000,2014,139,0
Chris Weitz,94,98,221,Eddie 'Piolin' Sotelo,749,Drama|Romance,A Better Life ,13174,0,gang|gardener|money|police|truck,81,English,PG-13,10000000,2011,252,0
David Cronenberg,157,98,258,John Neville,530,Drama|Mystery|Thriller,Spider ,30096,0,halfway house|key|reality|schizophrenia|spider,213,English,R,8000000,2002,387,0
Eric Blakeney,49,101,826,Oliver Platt,14000,Comedy|Crime|Romance,Gun Shy ,5936,0,colombian|enema|group therapy|murder|nurse,91,English,R,10000000,2000,1000,242
Douglas McGrath,80,132,1000,Anne Hathaway,16000,Drama|Romance,Nicholas Nickleby ,9395,1,boy|boys' school|death|friend|orphan,103,English,PG,10000000,2002,11000,0
Ariel Vromen,221,106,683,James Franco,11000,Biography|Crime|Drama,The Iceman ,55567,1,based on true story|contract killer|crime family|murder of a girl|serial murderer,144,English,R,10000000,2012,11000,20000
,53,55,2,Olaf Lubaszenko,20,Drama,Dekalog             ,12591,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,37,Polish,TV-MA,,,3,0
Rakesh Roshan,20,168,45,Rekha,307,Action|Adventure|Romance|Sci-Fi,Krrish ,12411,0,breaking the fourth wall|breaking the fourth wall by talking to the audience|computer|mask|singapore,110,Hindi,Not Rated,10000000,2006,200,533
John Waters,90,87,503,Melanie Griffith,975,Comedy|Crime|Thriller,Cecil B. DeMented ,11403,2,actress|drive in|female protagonist|movie star|woman shot in the forehead,150,English,R,10000000,2000,537,795
