director_name,num_critic_for_reviews,actor_3_facebook_likes,gross,actor_1_name,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
Juraj Jakubisko,25,576,,Anna Friel,Franco Nero,1,http://www.imdb.com/title/tt0469640/?ref_=fn_tt_tt_1,32,English,R,,627,6.0,2.35
Anthony Silverston,39,912,,Liam Neeson,Loretta Devine,0,http://www.imdb.com/title/tt1487931/?ref_=fn_tt_tt_1,12,English,Not Rated,20000000,12000,5.8,
Gabe Ibáñez,136,537,,Birgitte Hjort Sørensen,Melanie Griffith,0,http://www.imdb.com/title/tt1971325/?ref_=fn_tt_tt_1,134,English,R,7000000,889,6.1,2.35
Gerry Lively,26,51,,Bruce Payne,Steven Elder,0,http://www.imdb.com/title/tt0406728/?ref_=fn_tt_tt_1,108,English,Not Rated,15000000,55,4.9,1.78
Daniele Luchetti,4,50,,Maximilian Dirr,Ferdinando Vetere,0,http://www.imdb.com/title/tt3856124/?ref_=fn_tt_tt_1,4,Spanish,,15000000,57,5.7,
Tung-Shing Yee,53,19,,Bingbing Fan,Yasuaki Kurata,4,http://www.imdb.com/title/tt1075419/?ref_=fn_tt_tt_1,53,Mandarin,R,15000000,353,7.1,2.35
Julien Temple,22,303,,Samantha Morton,Linus Roache,1,http://www.imdb.com/title/tt0210217/?ref_=fn_tt_tt_1,32,English,PG-13,15000000,452,6.6,
Harold Ramis,147,512,70906973,Bill Murray,Willie Garson,1,http://www.imdb.com/title/tt0107048/?ref_=fn_tt_tt_1,609,English,PG,14600000,571,8.1,1.85
Gregory Jacobs,222,642,66009973,Matt Bomer,Kevin Nash,3,http://www.imdb.com/title/tt2268016/?ref_=fn_tt_tt_1,135,English,R,14800000,17000,5.7,2.35
Baz Luhrmann,106,954,46338728,Leonardo DiCaprio,Brian Dennehy,2,http://www.imdb.com/title/tt0117509/?ref_=fn_tt_tt_1,506,English,PG-13,14500000,1000,6.8,2.35
