director_name,duration,director_facebook_likes,actor_1_facebook_likes,num_voted_users,movie_imdb_link,budget,aspect_ratio
David M. Matthews,,8,713,548,http://www.imdb.com/title/tt1289419/?ref_=fn_tt_tt_1,,2.35
Nadine Labaki,95,0,227,9750,http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,1300000,1.85
Lluís Quílez,92,0,327,2621,http://www.imdb.com/title/tt2872724/?ref_=fn_tt_tt_1,,2.35
Eytan Fox,90,21,53,4702,http://www.imdb.com/title/tt0476643/?ref_=fn_tt_tt_1,1500000,
Francis Ford Coppola,113,0,11000,74651,http://www.imdb.com/title/tt0071360/?ref_=fn_tt_tt_1,1600000,1.37
Romesh Sharma,,0,421,257,http://www.imdb.com/title/tt0442764/?ref_=fn_tt_tt_1,70000000,
François Truffaut,123,0,963,4391,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,1600000,2.35
Adam Goldberg,111,1000,2000,1618,http://www.imdb.com/title/tt0322700/?ref_=fn_tt_tt_1,1650000,2.35
Travis Zariwny,99,4,427,3313,http://www.imdb.com/title/tt3832096/?ref_=fn_tt_tt_1,,
Zack Snyder,110,0,3000,194426,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,26000000,2.35
Adrienne Shelly,108,191,597,37714,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,2000000,1.85
Newt Arnold,92,15,633,57578,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,1100000,1.85
Frank Capra,120,964,607,77392,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,1500000,1.37
Larry Clark,91,184,3000,59041,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1,1500000,1.85
Noah Baumbach,88,387,436,60295,http://www.imdb.com/title/tt0367089/?ref_=fn_tt_tt_1,1500000,1.85
Charles Herman-Wurmfeld,97,0,378,14018,http://www.imdb.com/title/tt0264761/?ref_=fn_tt_tt_1,1000000,1.85
Yimou Zhang,95,611,9,2410,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,,2.35
John Stockwell,90,134,260000,246,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,17000000,
Alfred Hitchcock,95,13000,472,32927,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,1696377,1.37
Atom Egoyan,103,460,991,14112,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,2000000,1.85
Vincent Gallo,110,787,1000,36657,http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1,1500000,1.85
James Wan,103,0,852,202800,http://www.imdb.com/title/tt1591095/?ref_=fn_tt_tt_1,1500000,2.35
Alex Cox,92,92,752,25332,http://www.imdb.com/title/tt0087995/?ref_=fn_tt_tt_1,1500000,1.85
Fabián Bielinsky,114,44,827,38215,http://www.imdb.com/title/tt0247586/?ref_=fn_tt_tt_1,1500000,1.85
Dror Moreh,101,4,0,4547,http://www.imdb.com/title/tt2309788/?ref_=fn_tt_tt_1,,1.85
Rebecca Miller,112,58,552,9408,http://www.imdb.com/title/tt0357110/?ref_=fn_tt_tt_1,1500000,1.66
Maggie Carey,104,38,801,29517,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,1500000,1.78
Roger Avary,99,675,902,17322,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,1500000,1.85
Henry Bean,98,21,33000,30314,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,1500000,1.66
David Gordon Green,107,234,947,10896,http://www.imdb.com/title/tt0453548/?ref_=fn_tt_tt_1,,2.35
Simeon Rice,93,6,393,95,http://www.imdb.com/title/tt3139764/?ref_=fn_tt_tt_1,1500000,2.35
Brad Anderson,100,122,210,43839,http://www.imdb.com/title/tt0261983/?ref_=fn_tt_tt_1,1500000,2.35
Jeff Garlin,80,522,813,2963,http://www.imdb.com/title/tt0391229/?ref_=fn_tt_tt_1,1500000,1.85
Qasim Basir,94,13,1000,919,http://www.imdb.com/title/tt1450328/?ref_=fn_tt_tt_1,,
Adam Green,93,134,936,23349,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,1500000,1.85
Charles Chaplin,87,0,309,143086,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,1500000,1.37
Pete Jones,91,18,954,2419,http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1,1500000,1.85
Bruce Campbell,84,0,634,21379,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,1500000,1.85
Mark Brown,90,7,890,444,http://www.imdb.com/title/tt0436742/?ref_=fn_tt_tt_1,1500000,1.85
