director_name,num_critic_for_reviews,duration,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes
Walter Hill,52,100,David Carradine,2000,,Dennis Quaid,7322,Randy Quaid,0,http://www.imdb.com/title/tt0081071/?ref_=fn_tt_tt_1,78,English,R,10000000,1980,926
James Foley,91,110,Paul Ben-Victor,258,15156200,Byron Mann,15358,Kim Chan,2,http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1,131,English,R,30000000,1999,218
Jeff Nichols,368,130,Tye Sheridan,11000,21589307,Matthew McConaughey,135286,Sam Shepard,1,http://www.imdb.com/title/tt1935179/?ref_=fn_tt_tt_1,261,English,PG-13,10000000,2012,1000
Robert Ben Garant,89,84,Thomas Lennon,655,20339754,Wendi McLendon-Covey,23928,Carlos Alazraqui,2,http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1,73,English,R,10000000,2007,651
Morgan Spurlock,83,106,Zayn Malik,773,28873374,Harry Styles,22161,Niall Horan,11,http://www.imdb.com/title/tt2515086/?ref_=fn_tt_tt_1,68,English,PG,10000000,2013,734
Neal Brennan,83,89,Noureen DeWulf,839,15102127,Rob Riggle,17790,Charles Napier,5,http://www.imdb.com/title/tt1092633/?ref_=fn_tt_tt_1,59,English,R,,2009,700
Tuck Tucker,33,76,Vincent Schiavelli,1000,13684949,Jennifer Jason Leigh,4564,Paul Sorvino,0,http://www.imdb.com/title/tt0314166/?ref_=fn_tt_tt_1,43,English,PG,3000000,2002,811
Simon Curtis,386,99,Toby Jones,13000,14597405,Eddie Redmayne,71679,Julia Ormond,1,http://www.imdb.com/title/tt1655420/?ref_=fn_tt_tt_1,216,English,R,6400000,2011,2000
Richard Shepard,191,96,Philip Baker Hall,3000,12570442,Adam Scott,40514,Hope Davis,0,http://www.imdb.com/title/tt0365485/?ref_=fn_tt_tt_1,234,English,R,10000000,2005,497
Theodore Witcher,16,104,Nia Long,962,12514138,Leonard Roberts,2801,Larenz Tate,0,http://www.imdb.com/title/tt0119572/?ref_=fn_tt_tt_1,28,English,R,10000000,1997,826
