director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,actor_3_name,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
130,Brigitte Nielsen,444,,Action|Adventure|Fantasy,Ernie Reyes Jr.,Sandahl Bergman,95,English,PG-13,17900000,1985,312,5.0,2.35,0
89,Toby Jones,22000,,Drama|Horror|Mystery|Thriller,Robert De Niro,Craig Roberts,140,English,R,14000000,2012,2000,6.2,2.35,10000
99,Joe Lo Truglio,15000,121463226,Comedy,Emma Stone,Kevin Corrigan,555,English,R,20000000,2007,833,7.6,1.85,0
0,Keshia Knight Pulliam,923,90485233,Comedy|Crime|Drama,Vanessa Ferlito,Derek Luke,45,English,PG-13,,2009,619,4.1,1.85,804
512,Jennifer Hale,11000,,Action|Horror,Jason Momoa,Stephen McHattie,34,English,R,18000000,2014,918,5.3,2.35,0
209,Mari Koda,158,58006147,Drama|Music|Musical|Romance,Cassie Ventura,Luis Rosado,108,English,PG-13,23000000,2008,152,6.2,1.85,0
19,Chazz Palminteri,11000,51053787,Action|Animation|Comedy|Crime|Family,Anne Hathaway,Jim Belushi,247,English,PG,17500000,2005,979,6.5,1.85,0
83,Sophie Okonedo,3000,23472900,Drama|History|War,Don Cheadle,Hakeem Kae-Kazim,609,English,PG-13,17500000,2004,460,8.1,2.35,12000
87,Dougray Scott,866,39687528,Action|Crime|Drama|Thriller,Henry Ian Cusick,Ulrich Thomsen,376,English,R,24000000,2007,794,6.3,2.35,0
148,Mary J. Blige,549,7017178,Drama|Family|Music|Musical,Jennifer Hudson,Vondie Curtis-Hall,17,English,PG,17500000,2013,269,4.4,2.35,0
32,50 Cent,13000,,Action|Thriller,Bruce Willis,Jessica Lowndes,101,English,R,18000000,2014,1000,4.6,2.35,0
0,Shawn Andrews,109,325491,Crime|Drama|Thriller,Kirk Fox,Rob Campbell,67,English,R,17500000,2002,67,6.0,1.85,204
448,Elaine Cassidy,482,96471845,Fantasy|Horror|Thriller,Fionnula Flanagan,Eric Sykes,1109,English,PG-13,17000000,2001,203,7.6,1.85,20000
0,Carrie Henn,2000,85200000,Action|Adventure|Sci-Fi,Michael Biehn,Jenette Goldstein,1076,English,R,18500000,1986,626,8.4,1.85,18000
165,Rex Harrison,453,72000000,Drama|Family|Musical|Romance,Jeremy Brett,Theodore Bikel,258,English,Approved,17000000,1964,272,7.9,2.2,0
13,Sarah Michelle Gellar,45000,72219395,Horror|Mystery|Thriller,Muse Watson,Anne Heche,419,English,R,17000000,1997,4000,5.6,2.35,0
42,Damon Wayans Jr.,839,82389560,Comedy,Rob Riggle,James D'Arcy,147,English,R,17000000,2014,756,6.5,1.85,14000
729,Patrick Gallagher,912,71502303,Adventure|Comedy|Drama|Romance,Virginia Madsen,M.C. Gainey,835,English,R,12000000,2004,306,7.5,1.85,0
422,Owain Yeoman,33000,19179969,Comedy,Chris Moss,Jay Chandrasekhar,177,English,R,17500000,2006,459,6.3,2.35,0
0,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,P.J. Soles,1191,English,R,300000,1978,742,7.9,2.35,12000
611,Tony Chiu Wai Leung,5000,84961,Action|Adventure|History,Jet Li,Maggie Cheung,841,Mandarin,PG-13,31000000,2002,643,7.9,2.35,0
9,Molly Shannon,818,37566230,Comedy|Drama|Family|Fantasy|Sci-Fi,Liam Aiken,Kevin Nealon,48,English,PG,17000000,2003,636,5.1,1.85,309
92,Sanaa Lathan,1000,70492685,Comedy|Drama,Harold Perrineau,Eddie Cibrian,64,English,R,17000000,2013,886,6.7,2.35,7000
248,Common,16000,35635046,Action|Crime|Drama|Thriller,Ryan Reynolds,Alex Rocco,482,English,R,17000000,2006,988,6.7,2.35,3000
52,Gina Holden,723,45670855,Horror|Mystery,Costas Mandylor,Betsy Russell,279,English,R,20000000,2010,346,5.6,1.85,12000
36,Vinessa Shaw,1000,37939782,Comedy|Romance,Emmanuelle Vaugier,Paulo Costanzo,207,English,R,17000000,2002,580,5.6,1.85,2000
364,Olivia Wilde,12000,172051787,Action|Adventure|Sci-Fi,Jeff Bridges,James Frain,665,English,PG,170000000,2010,10000,6.8,2.35,30000
12,Chris Kattan,8000,30324946,Comedy|Music|Romance,Will Ferrell,Dan Hedaya,239,English,PG-13,17000000,1998,357,6.2,1.85,0
33,Mary-Kate Olsen,15000,27854896,Drama|Fantasy|Romance,Alex Pettyfer,Erik Knudsen,129,English,PG-13,17000000,2011,976,5.6,2.35,16000
192,Greg Nicotero,1000,41777564,Horror,Dan Byrd,Vinessa Shaw,855,English,R,15000000,2006,1000,6.4,2.35,0
39,Jenna Boyd,593,22734486,Comedy,Kevin Grevioux,Mary McCormack,117,English,PG-13,17000000,2003,517,5.6,2.35,320
51,Valente Rodriguez,427,44469602,Biography|Drama|Sport,Morgan Saylor,Diana Maria Riva,83,English,PG,17000000,2015,234,7.4,2.35,21000
17,Loretta Devine,918,24708699,Comedy,Brandon T. Jackson,Shad Moss,30,English,PG-13,,2010,912,4.9,2.35,0
49,Adam Boyer,680,21160089,Comedy|Crime|Drama|Music|Romance,T.I.,Malika,92,English,PG-13,,2006,503,6.0,2.35,874
36,Hana Mae Lee,10000,64998368,Comedy|Music|Romance,Anna Kendrick,Ben Platt,250,English,PG-13,17000000,2012,751,7.2,1.85,36000
19,Brian Dennehy,973,19693891,Comedy|Drama|Romance|Sport,Marc Blucas,Bruce Davison,107,English,PG-13,34000000,2001,954,4.9,1.85,476
0,Bridget Fonda,989,16311763,Crime|Drama|Thriller,Gary Cole,Chelcie Ross,416,English,R,17000000,1998,888,7.5,1.85,0
11,Ethan Embry,1000,12693621,Horror|Mystery|Thriller,Alexander Gould,Marc Blucas,271,English,PG-13,17000000,2002,982,4.8,2.35,814
0,Larry the Cable Guy,690,15655665,Comedy|Romance,Thomas F. Wilson,Megyn Price,112,English,PG-13,4000000,2006,400,3.1,1.33,110
11,Kevin Clash,1000,11634458,Adventure|Comedy|Family|Fantasy|Musical,Vanessa Williams,Caroll Spinney,37,English,G,17000000,1999,436,5.8,1.85,339
847,Lili Taylor,3000,27154426,Crime|Drama|Thriller,Don Cheadle,Armando Riesco,138,English,R,17000000,2009,960,6.7,2.35,4000
117,David Niven,715,,Action|Adventure|Drama|History|War,Ava Gardner,John Ireland,50,English,Unrated,9000000,1963,490,6.8,2.2,419
201,Elizabeth Blackmore,394,54239856,Horror,Lou Taylor Pucci,Ellen Sandweiss,789,English,R,17000000,2013,150,6.5,2.35,70000
80,Harland Williams,567,8662318,Comedy|Romance,Nia Vardalos,Rachel Dratch,75,English,PG-13,17000000,2009,503,5.9,1.85,0
80,Dennis Quaid,2000,7156725,Comedy|Music,Judy Greer,Chris Klein,217,English,PG-13,19000000,2006,2000,5.5,1.85,300
22,Margot Kidder,1000,15681020,Action|Adventure|Family|Sci-Fi,Jim Broadbent,William Hootkins,259,English,PG,17000000,1987,593,3.6,2.35,1000
8,Clé Bennett,328,7070459,Drama,DeRay Davis,Conrad Coates,18,English,PG-13,,2007,122,3.3,1.85,238
47,Chazz Palminteri,23000,6855137,Action|Crime|Drama|Thriller,Paul Walker,Ivana Milicevic,419,English,R,17000000,2006,979,7.4,2.35,0
9,Jeremy Northam,767,2694071,Biography|Drama|Romance|Sport,Aidan Quinn,Paul Freeman,64,English,PG,,2004,327,6.7,2.35,352
3,Paul Freeman,400,2315683,Adventure|Crime|Drama|Romance,Victor Wong,Clyde Kusatsu,28,English,PG-13,17000000,1986,193,3.0,1.85,154
168,Eddie Marsan,3000,39825798,Drama|Mystery|Romance|Thriller,Rufus Sewell,Jake Wood,645,English,PG-13,16000000,2006,979,7.6,1.85,15000
4,Melanie Griffith,634,2000000,Adventure|Horror|Thriller,Tippi Hedren,Zakes Mokae,27,English,PG,17000000,1981,537,6.4,2.35,0
541,David Murray,214,1569918,Biography|Crime|Drama|Thriller,Brenda Fricker,Gerard McSorley,113,English,R,17000000,2003,96,6.9,2.35,0
30,Brady Corbet,14000,106869,Crime|Drama|Romance|Thriller,Josh Hutcherson,Carlos Bardem,39,English,R,17000000,2014,287,6.6,,0
219,Curtis Armstrong,1000,273420,Comedy|Mystery|Sci-Fi|Thriller,Janeane Garofalo,Chris Andrew Ciulla,238,English,R,17000000,2006,876,5.5,2.35,0
0,Jess Harnell,677,,Adventure|Animation|Family|Fantasy,Rob Paulsen,Mary Mouser,39,French,PG,11000000,2008,262,6.6,,0
22,Jan-Michael Vincent,669,,Sci-Fi,George Peppard,Paul Winfield,71,English,PG,17000000,1977,642,5.2,2.35,903
57,Rick Gomez,465,4930798,Horror|Thriller,Julianna Guill,Tim Williams,108,English,PG-13,17000000,2012,152,4.1,2.35,0
6,Jamie Lee Curtis,3000,59847242,Comedy|Drama|Family|Romance,Macaulay Culkin,Griffin Dunne,115,English,PG-13,16500000,1991,2000,6.8,1.85,0
30,Ty Burrell,21000,220914,Biography|Drama|Romance,Robert Downey Jr.,Matt Servitto,97,English,R,16800000,2006,3000,6.5,1.85,0
168,Eddie Marsan,3000,39825798,Drama|Mystery|Romance|Thriller,Rufus Sewell,Jake Wood,645,English,PG-13,16000000,2006,979,7.6,1.85,15000
0,Tamara Tunie,826,43848100,Crime|Drama,Hal Holbrook,James Karen,219,English,R,15000000,1987,508,7.4,1.85,0
