duration,num_user_for_reviews
84,202
94,85
93,76
96,91
88,287
101,151
102,69
87,35
83,71
103,20
99,113
106,70
115,110
117,118
99,53
102,38
85,93
86,31
120,7
106,137
103,26
93,26
112,87
100,40
113,38
98,141
23,47
92,28
106,10
119,42
99,97
90,50
120,3
168,129
93,20
96,53
103,19
93,29
84,104
81,21
84,4
94,15
141,1
120,167
121,317
226,706
104,10
152,67
92,6
107,90
97,148
115,35
95,90
102,54
99,14
109,172
113,332
25,147
113,334
91,174
88,427
88,14
97,157
97,96
42,92
85,118
121,62
134,128
149,83
121,74
116,199
92,452
93,38
96,98
105,229
129,231
87,419
94,52
37,537
81,131
97,236
106,494
103,199
101,24
102,207
98,53
91,135
105,15
98,11
104,20
45,4
96,12
148,55
100,2
86,10
92,10
88,13
90,18
94,102
80,331
107,225
99,13
92,72
107,731
135,749
99,160
102,13
93,73
115,249
94,458
91,174
98,75
97,3
92,18
128,86
136,447
113,214
99,70
101,172
105,142
95,252
109,257
110,418
108,47
118,706
94,514
115,83
98,359
91,213
120,888
109,20
87,327
117,94
85,578
110,524
113,35
108,141
95,150
98,34
93,55
86,307
161,273
100,54
120,111
125,241
91,317
128,137
100,72
84,88
97,16
84,20
146,81
186,176
94,8
11,75
126,162
99,101
109,270
95,65
97,100
94,23
90,109
197,1
117,147
96,161
82,81
109,92
90,53
89,349
98,49
95,49
94,181
104,115
87,183
108,78
86,139
94,177
134,499
89,14
102,261
120,809
110,65
86,230
101,8
102,196
87,18
123,112
99,54
173,33
87,129
44,28
120,27
93,71
111,145
60,20
98,56
100,8
88,48
97,25
122,226
86,31
83,39
80,24
108,736
90,1
96,14
85,9
83,85
80,13
90,30
92,128
100,1
88,9
95,15
82,8
97,9
105,323
94,14
95,20
113,257
136,40
80,31
105,27
90,15
93,23
107,310
89,539
90,32
89,17
116,206
120,350
88,270
102,533
106,315
95,332
144,106
113,57
118,90
141,8
90,6
109,65
95,5
122,27
93,363
97,326
82,123
140,69
86,53
109,260
105,37
66,124
99,4
100,47
103,568
97,25
86,107
87,199
119,491
149,212
98,532
98,92
112,120
75,30
104,153
102,978
105,395
99,5
107,87
96,84
101,29
89,84
106,134
95,178
34,2
101,345
112,34
