director_name,duration,actor_3_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Scott Mann,93,558,Action|Crime|Thriller,Robert De Niro,Heist ,16193,24154,D.B. Sweeney,bus|die hard scenario,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,19000000,2015,1000,6.1,2.35,0
Susanna White,109,167,Comedy|Family|Fantasy,Daniel Mays,Nanny McPhee Returns ,19230,855,Eros Vlahos,farm|magic|mother daughter relationship|overalls|title directed by female,http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1,35000000,2010,175,6.1,2.35,0
Danny DeVito,140,210,Biography|Crime|Drama,Frank Whaley,Hoffa ,17124,1394,Paul Guilfoyle,labor|labor union|leader|mafia|union,http://www.imdb.com/title/tt0104427/?ref_=fn_tt_tt_1,35000000,1992,263,6.6,2.35,949
Chris Carter,108,296,Drama|Mystery|Sci-Fi|Thriller,Mitch Pileggi,The X Files: I Want to Believe ,78256,2351,Nicki Aycox,fbi|priest|psychic|psychic vision|staff physician,http://www.imdb.com/title/tt0443701/?ref_=fn_tt_tt_1,30000000,2008,716,5.9,2.35,0
Tommy O'Haver,96,973,Comedy|Family|Fantasy|Romance,Anne Hathaway,Ella Enchanted ,47800,17292,Joanna Lumley,curse|fairy|obedience|prince|strong female character,http://www.imdb.com/title/tt0327679/?ref_=fn_tt_tt_1,35000000,2004,1000,6.3,1.85,0
Peter Landesman,123,745,Biography|Drama|Sport,Will Smith,Concussion ,44788,13371,Albert Brooks,chronic traumatic encephalopathy|concussion|football|football player|pathologist,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,35000000,2015,979,7.1,2.35,23000
John Singleton,106,63,Action|Mystery|Thriller,Ken Arnold,Abduction ,65044,561,Richard Cetrone,assassin|high school|on the run|teenager|website,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,35000000,2011,73,5.0,2.35,13000
Gary Chapman,76,72,Adventure|Animation|Comedy|Family|War,Jim Broadbent,Valiant ,15788,1908,Pip Torrens,dove|falcon|nursing|pigeon|psychological torture,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,35000000,2005,766,5.6,1.85,538
Curtis Hanson,107,549,Comedy|Drama,Robert Downey Jr.,Wonder Boys ,54643,22974,Richard Thomas,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,55000000,2000,826,7.4,2.35,0
Craig Mazin,82,418,Action|Comedy|Sci-Fi|Thriller,Drake Bell,Superhero Movie ,52052,3266,Marion Ross,dragonfly|hero|high school|soaking wet|supervillian origin,http://www.imdb.com/title/tt0426592/?ref_=fn_tt_tt_1,35000000,2008,642,4.5,1.85,0
Allen Hughes,109,344,Crime|Drama|Thriller,Alona Tal,Broken City ,63548,2073,Michael Beach,election|father son relationship|fellatio|gay slur|title spoken by character,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,35000000,2013,412,6.2,2.35,0
Wes Craven,99,520,Comedy|Horror,Shannon Elizabeth,Cursed ,26126,2535,Derek Mears,creature|death|party|rescue|werewolf,http://www.imdb.com/title/tt0257516/?ref_=fn_tt_tt_1,35000000,2005,573,5.0,2.35,0
