num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,content_rating,title_year,aspect_ratio,movie_facebook_likes
161,81,10,397,Fred Willard,135381507,Adventure|Animation|Comedy|Family|Sci-Fi,Catherine O'Hara,2252,Amy Sedaris,0,http://www.imdb.com/title/tt0371606/?ref_=fn_tt_tt_1,USA,G,2005,1.85,912
568,149,21000,625,Sela Ward,167735396,Crime|Drama|Mystery|Thriller,Patrick Fugit,4348,Emily Ratajkowski,0,http://www.imdb.com/title/tt2267998/?ref_=fn_tt_tt_1,USA,R,2014,2.35,146000
249,119,218,73,Josh Hamilton,121468960,Action|Mystery|Thriller,Matt Damon,13249,Nicky Naudé,1,http://www.imdb.com/title/tt0258463/?ref_=fn_tt_tt_1,USA,PG-13,2002,2.35,0
137,130,258,345,Joe Don Baker,106635996,Action|Adventure|Thriller,Izabella Scorupco,1784,Tchéky Karyo,2,http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1,UK,PG-13,1995,2.35,0
113,116,165,475,Timothy Hutton,102678089,Drama|Mystery|Thriller,Daniel von Bargen,2321,Clarence Williams III,0,http://www.imdb.com/title/tt0144214/?ref_=fn_tt_tt_1,USA,R,1999,2.35,885
213,103,608,576,Noah Emmerich,125603360,Comedy|Drama|Sci-Fi,Natascha McElhone,3698,Peter Krause,1,http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,USA,PG,1998,1.85,18000
120,99,59,145,Aria Noelle Curzon,101217900,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,Martin Short,1195,Eden Riegel,2,http://www.imdb.com/title/tt0120794/?ref_=fn_tt_tt_1,USA,PG,1998,1.85,0
81,92,41,522,Lisa Edelstein,104148781,Comedy|Family,Anjelica Huston,4050,Jeff Garlin,1,http://www.imdb.com/title/tt0317303/?ref_=fn_tt_tt_1,USA,PG,2003,1.85,886
265,109,175,459,Patrick Fischler,75573300,Action|Comedy|Crime|Drama|Thriller,Denzel Washington,20148,Fred Ward,1,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,USA,R,2013,2.35,22000
105,87,6,405,Elizabeth Perkins,93375151,Action|Comedy|Family|Fantasy,Carol Ann Susi,4171,Miriam Margolyes,0,http://www.imdb.com/title/tt0239395/?ref_=fn_tt_tt_1,USA,PG,2001,1.85,0
155,111,473,82,Charlize Theron,106126012,Action|Crime|Thriller,Jason Statham,35084,Jimmy Shubert,6,http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1,USA,PG-13,2003,2.35,0
118,101,30,268,Alicia Witt,93307796,Comedy|Romance,Dorian Missick,2636,Dana Ivey,2,http://www.imdb.com/title/tt0313737/?ref_=fn_tt_tt_1,USA,PG-13,2002,1.85,0
131,83,35,754,Woody Allen,90646554,Adventure|Animation|Comedy|Family,Sylvester Stallone,25788,Anne Bancroft,0,http://www.imdb.com/title/tt0120587/?ref_=fn_tt_tt_1,USA,PG,1998,1.85,0
166,113,0,721,Kristin Davis,109176215,Comedy,Jon Favreau,8172,Tasha Smith,6,http://www.imdb.com/title/tt1078940/?ref_=fn_tt_tt_1,USA,PG-13,2009,1.85,0
60,107,12000,695,Robert Duvall,82670733,Action|Drama|Sport,Tom Cruise,14006,Randy Quaid,0,http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1,USA,PG-13,1990,2.35,0
77,94,163,2000,Tom Welling,82569532,Adventure|Comedy|Family,Taylor Lautner,20348,Alyson Stoner,6,http://www.imdb.com/title/tt0452598/?ref_=fn_tt_tt_1,USA,PG,2005,2.35,781
249,132,47,240,Lili Taylor,81687587,Action|Sci-Fi|Thriller,Ki Hong Lee,2517,Rosa Salazar,0,http://www.imdb.com/title/tt4046784/?ref_=fn_tt_tt_1,USA,PG-13,2015,2.35,24000
213,140,708,745,Julia Roberts,80574010,Drama|Romance,James Franco,20440,Billy Crudup,1,http://www.imdb.com/title/tt0879870/?ref_=fn_tt_tt_1,USA,PG-13,2010,1.85,26000
121,125,420,627,Don Cheadle,75764085,Comedy|Drama|Fantasy|Romance,Nicolas Cage,16646,Amber Valletta,1,http://www.imdb.com/title/tt0218967/?ref_=fn_tt_tt_1,USA,PG-13,2000,2.35,0
315,111,124,357,Morgan Freeman,90356857,Action|Comedy|Crime|Thriller,Bruce Willis,24928,Jaqueline Fleming,4,http://www.imdb.com/title/tt1245526/?ref_=fn_tt_tt_1,USA,PG-13,2010,2.35,32000
171,156,0,1000,Dennis Quaid,75530832,Drama|Sport,Al Pacino,20761,LL Cool J,5,http://www.imdb.com/title/tt0146838/?ref_=fn_tt_tt_1,USA,R,1999,2.35,0
96,170,0,380,Kristin Scott Thomas,75370763,Drama|Romance|Western,Scarlett Johansson,20683,Jessalyn Gilsig,0,http://www.imdb.com/title/tt0119314/?ref_=fn_tt_tt_1,USA,PG-13,1998,1.85,0
299,120,0,680,Jada Pinkett Smith,100003492,Crime|Drama|Thriller,Tom Cruise,13581,Debi Mazar,0,http://www.imdb.com/title/tt0369339/?ref_=fn_tt_tt_1,USA,R,2004,2.35,0
167,100,55,416,Roger Rees,90341670,Action|Adventure|Fantasy|Thriller,Dwayne Johnson,14611,Bernard Hill,4,http://www.imdb.com/title/tt0277296/?ref_=fn_tt_tt_1,USA,PG-13,2002,2.35,0
125,115,13,579,Jay Hernandez,74540762,Action|Drama|Thriller,Billy Burke,4496,Jacinda Barrett,2,http://www.imdb.com/title/tt0349710/?ref_=fn_tt_tt_1,USA,PG-13,2004,1.85,0
387,130,188,1000,Robert Duvall,80033643,Action|Crime|Mystery|Thriller,Tom Cruise,16385,David Oyelowo,2,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,USA,PG-13,2012,2.35,38000
199,105,212,811,Michael Rapaport,73648142,Action|Sci-Fi|Thriller,LL Cool J,3697,Saffron Burrows,1,http://www.imdb.com/title/tt0149261/?ref_=fn_tt_tt_1,USA,R,1999,2.35,0
136,111,197,6,Mekia Cox,71844424,Documentary|Music,Misha Gabriel Hamilton,679,Judith Hill,0,http://www.imdb.com/title/tt1477715/?ref_=fn_tt_tt_1,USA,PG,2009,1.78,0
436,106,0,175,Monique Gabriela Curnen,75638743,Drama|Thriller,Matt Damon,13634,Griffin Kane,4,http://www.imdb.com/title/tt1598778/?ref_=fn_tt_tt_1,USA,PG-13,2011,1.85,42000
73,89,18,226,Dyan Cannon,66734992,Action|Adventure|Comedy|Crime,Estella Warren,1233,Bill Hunter,0,http://www.imdb.com/title/tt0257568/?ref_=fn_tt_tt_1,USA,PG,2003,2.35,858
