duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
98,27,Mark Bazeley,1000,Stephen Graham,The Damned United ,32307,Maurice Roëves,2,cup|derby county|flashback|football|leeds united,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,English,UK,10000000,2009,54,0
108,358,Clu Gulager,431,Linnea Quigley,The Return of the Living Dead ,39856,Beverly Randolph,0,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,English,USA,4000000,1985,426,0
55,5,Fortunato Cerlino,18,Maria Pia Calzone,Gomorrah             ,9638,Marco D'Amore,5,,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,Italian,Italy,,,9,0
123,781,Jason Mewes,1000,Ethan Suplee,Mallrats ,99033,Joey Lauren Adams,6,comic|ex girlfriend|jay and silent bob|mall|teenager,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,English,USA,6000000,1995,898,0
110,898,Stockard Channing,1000,Olivia Newton-John,Grease ,170027,Sid Caesar,2,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,English,USA,6000000,1978,944,13000
120,576,Tom Berenger,40000,Johnny Depp,Platoon ,291603,Kevin Dillon,0,1960s|famous score|hero|vietnam|vietnam war,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,English,UK,6000000,1986,854,9000
122,282,Stevie Wonder,503,Osama bin Laden,Fahrenheit 9/11 ,113152,Ricky Martin,0,anti war|interview|iraq|paranoia|war on terrorism,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,English,USA,6000000,2004,328,0
110,399,Ted Cassidy,640,Katharine Ross,Butch Cassidy and the Sundance Kid ,152089,Kenneth Mars,1,bolivia|gang|outlaw|posse|train,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,English,USA,6000000,1969,566,0
139,266,Glynis Johns,382,Ed Wynn,Mary Poppins ,107408,Elsa Lanchester,2,banker|female protagonist|live action and animation|magic|nanny,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,English,USA,6000000,1964,279,0
124,535,Elizabeth McGovern,2000,Adam Baldwin,Ordinary People ,35130,Judd Hirsch,3,choir|death|friend|suicide|therapy,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,English,USA,6000000,1980,553,0
120,447,Steve Coogan,1000,Jim Broadbent,Around the World in 80 Days ,68722,Cécile De France,0,19th century|around the world|inventor|martial arts|train,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,English,USA,110000000,2004,1000,0
152,249,George Chakiris,804,Rita Moreno,West Side Story ,71919,Richard Beymer,0,dance|gang|new york city|puerto rican|tragedy,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,English,USA,6000000,1961,271,0
98,484,Rodney Dangerfield,13000,Bill Murray,Caddyshack ,81599,Brian Doyle-Murray,3,caddy|country club|golf course|gopher|nudity,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,English,USA,6000000,1980,573,0
106,578,Tatyana Ali,3000,Julie Benz,The Brothers ,3198,Jenifer Lewis,4,african american|commitment|friend|friendship|playboy,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,English,USA,6000000,2001,685,478
106,328,Tamala Jones,865,Omar Epps,The Wood ,6585,Richard T. Jones,0,flashback|friendship|public nudity|shower|wedding,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,English,USA,6000000,1999,405,990
106,574,Chazz Palminteri,18000,Kevin Spacey,The Usual Suspects ,740918,Kevin Pollak,4,criminal|dirty cop|flashback|limping|suspect,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,English,USA,6000000,1995,979,28000
89,92,Kelly Jo Minter,321,Lisa Wilcox,A Nightmare on Elm Street 5: The Dream Child ,29659,Matthew Borlenghi,0,child|comic book|dream|murderer|nightmare,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,English,USA,8000000,1989,101,1000
94,583,Curtis Armstrong,16000,Ryan Reynolds,Van Wilder: Party Liaison ,89128,Erik Estrada,0,college|love|party|reporter|tuition,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,English,Germany,6000000,2002,876,0
109,120,John D'Leo,1000,Mark Margolis,The Wrestler ,251349,Ajay Naidu,0,heart attack|stripper|supermarket|wrestler|wrestling,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,English,USA,6000000,2008,245,10000
144,332,Lillian Gish,469,Joseph Cotten,Duel in the Sun ,6304,Jennifer Jones,0,box office hit|half breed|infidelity|shooting|texas,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,English,USA,8000000,1946,436,403
