director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,plot_keywords,num_user_for_reviews,title_year
Adam McKay,130,285,767,33000,Ryan Gosling,bank|banking|finance|fraud|mortgage,374,2015
Ang Lee,120,0,210,579,Imelda Staunton,female full frontal nudity|female nudity|male frontal nudity|male full frontal nudity|male nudity,71,2009
Gavin O'Connor,135,149,250,639,Eddie Cahill,1980s|hockey|ice hockey|olympics|soviet union,289,2004
Zack Snyder,110,0,1000,3000,Ty Burrell,mall|mayhem|nurse|rear entry sex|survival horror,1057,2004
Adam Shankman,103,163,968,11000,Matthew McConaughey,chick flick|doctor|horseback riding|wedding|wedding planner,229,2001
Shinji Aramaki,115,21,47,173,Shun Oguri,liberty|space adventure|space opera|time travel|undercover agent,28,2013
Wes Anderson,110,0,327,13000,Bill Murray,brother brother relationship|family relationships|father daughter relationship|genius|thrown through a window,962,2001
James Mangold,91,446,660,1000,Clea DuVall,dissociative identity disorder|motel room key|murder|storm|stranded,714,2003
Jon Turteltaub,105,226,966,22000,Robert De Niro,bachelor party|bloody mary the drink|bouncer|brooklyn new york city|vegas,173,2013
John Glen,127,46,244,844,Julian Glover,agent|british|ice skater|ship|spy,263,1981
Peter Chelsom,82,23,6,11,Lilli Lavine,christmas|destiny|fate|love|serendipity,374,2001
Peter Hyams,99,0,186,664,Mia Sara,cop|corrupt politician|future|senator|time travel,115,1994
Ben Stiller,90,0,8000,14000,Milla Jovovich,fashion|malaysia|male model|reporter|rival,523,2001
Lasse Hallström,115,529,325,576,David Lyons,abusive husband|chick flick|north carolina|secret|widower,160,2013
Kenny Ortega,96,197,115,580,Vinessa Shaw,candle|cat|halloween|spell|virgin,132,1993
Scott Hicks,104,96,559,943,Zoë Kravitz,chef|cooking|guardian|kitchen|restaurant,128,2007
Matthew Vaughn,117,905,385,553,Elizabeth McGovern,comic book|female killer|hit in the crotch|narrated by character|reference to batman,801,2010
Ruben Fleischer,83,181,459,731,Bianca Kajlich,bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal,122,2011
Patrick Lussier,99,71,1000,18000,Gerard Butler,dracula|gothic|painting|rescue|van helsing,365,2000
Miguel Arteta,81,44,3000,35000,Bella Thorne,bad day|based on book|birthday|job interview|long title,85,2014
Joe Wright,135,456,241,422,Talulah Riley,bachelor|england|gentleman|georgian|love,1058,2005
Ridley Scott,117,0,521,11000,Harrison Ford,artificial intelligence|human android relationship|megacorporation|police detective|tech noir,1168,1982
Michael Caton-Jones,139,105,902,14000,Liam Neeson,18th century|highlands|scotland|sexual cruelty|sword fight,126,1995
McG,123,368,114,933,Connie Nielsen,cancer|estranged wife|leather dress|spy|terrorist,211,2014
James Gray,117,115,97,3000,Robert Duvall,arrest|drugs|loyalty|raid|violence,199,2007
Janusz Kaminski,97,710,258,497,Philip Baker Hall,faith|mental patient|priest|scheme|teacher,167,2000
Jacques Perrin,81,63,,63,Jacques Perrin,arctic|bad weather|flight|migration|ocean,153,2001
Donald Petrie,103,80,585,806,Samaire Armstrong,bad luck|band|kiss|luck|masquerade,149,2006
Jay Roach,119,116,385,738,Scott Grimes,alaska|male nudity|nudity|sex|small town,123,1999
Brian Levant,94,32,453,1000,Madeline Carroll,chinese|cia|single mother|spy|terrorist,71,2010
Michael Ritchie,89,23,899,1000,Mara Wilson,8 year old|convention|magic|magic wand|male fairy godmother,21,1997
John Carpenter,98,0,900,26000,Jason Statham,head on a stake|machine gun|martian|nuclear reactor|outer space,460,2001
David Gordon Green,107,234,660,1000,Dominic Flores,bolivia|box office flop|inspired by documentary|presidential campaign|year 2002,50,2015
Burr Steers,108,23,845,2000,Matt Smith,based on novel|damsel in distress|deception|england|zombie,134,2016
Martin Scorsese,134,17000,0,2,Tenzin Thuthob Tsarong,chinese|dalai lama|lama|tibet|tibetan,117,1997
Robert B. Weide,110,53,87,480,James Corden,celebrity|party|pig|starlet|writer,98,2008
Jeff Wadlow,103,65,405,17000,Chloë Grace Moretz,hit in the crotch|kicked in the crotch|punched in the crotch|sparring|superhero,378,2013
Agustín Díaz Yanes,145,13,278,10000,Viggo Mortensen,desire|fighting|king|spain|trap,84,2006
Camille Delamarre,100,11,561,23000,Paul Walker,bare chested male bondage|crime lord|die hard scenario|two word title|undercover,112,2014
John Glen,131,46,293,594,Louis Jourdan,agent|egg|faberge egg|general|russian,225,1983
Judd Apatow,133,0,529,11000,Harold Ramis,one night stand|pregnancy|slacker|unplanned pregnancy|website,559,2007
Nick Cassavetes,109,415,228,673,Jason Patric,hospital|leukemia|oncology|sick child|terminal illness,184,2009
Malcolm D. Lee,114,92,436,940,Mo'Nique,african american protagonist|comma in title|four word title|name in title|talk show host,39,2008
David Lean,164,767,162,358,Richard Wilson,doctor|english|india|magistrate|mosque,89,1984
Richard Eyre,92,14,78,386,Phil Davis,age difference|school|student|teacher|writing,281,2006
Gavin Hood,122,151,11000,24000,J.K. Simmons,american|bare chested male bondage|cia|detention|interrogation,197,2007
,42,,535,766,Colin Salmon,brain capacity|fbi|fictional drug|intelligence|taking a pill,131,
Nicholas Meyer,110,120,664,12000,Leonard Nimoy,captain|explosion|klingon|moon|peace,188,1991
Callie Khouri,116,144,477,1000,Ellen Burstyn,flashback|interview|louisiana|playwright|secret society,199,2002
Jon Favreau,106,4000,591,19000,Scarlett Johansson,fire|jungle|remake|tiger|wolf,398,2016
Gary Fleder,115,39,685,11000,Morgan Freeman,detective|kidnapping|punching a heavy bag|serial killer|tied to a tree,143,1997
John Landis,148,644,326,1000,John Belushi,band|catholic|money|parolee|prison,319,1980
Sanaa Hamri,119,43,523,953,America Ferrera,actor|drawing|friendship|pregnancy|turkey,33,2008
Todd Graff,118,650,715,1000,Dolly Parton,bare chested male|chips|two word title,71,2012
Chris Weitz,101,129,3,66,Sharon Small,boy|friend|imaginary son|single father|single mother,391,2002
Steve Miner,82,49,429,1000,Oliver Platt,crocodile|eaten alive|lake|maine|sheriff,366,1999
Paul McGuigan,110,118,1000,13000,Bruce Willis,coroner|death|gay son|love|mistaken identity,507,2006
Philip Kaufman,193,133,820,2000,Dennis Quaid,astronaut|sound barrier|space program|u.s. air force|u.s. space program,170,1983
Roland Emmerich,130,776,358,898,Vanessa Redgrave,earl of oxford|play|queen|rebellion|shakespeare play,136,2011
Wolfgang Petersen,94,249,271,523,Gerald McRaney,book|dragon|story within the story|talking animal|werewolf,284,1984
Alex Proyas,111,295,531,3000,Rufus Sewell,memory|murder|neo noir|retrofuturism|tech noir,624,1998
Saul Dibb,110,10,844,3000,Dominic Cooper,duchess|duke|heir|infidelity|marriage,140,2008
,30,,94,491,Jackie Gleason,1950s|bus driver|money scheme|poverty|sewer,31,
Walter Murch,109,181,137,303,Piper Laurie,chicken|delusional depression|doctor|king|mysterious girl,208,1985
Richard Linklater,123,0,324,11000,Matthew McConaughey,bank robber|brother brother relationship|crime spree|explosive|train,39,1998
Christian Alvart,109,22,355,14000,Bradley Cooper,death|fear|hairy chest|social worker|spinning in chair,174,2009
E. Elias Merhige,99,54,398,748,Harry Lennix,fbi|fbi agent|murder|salesman|serial killer,139,2004
Menno Meyjes,106,43,460,1000,Oliver Platt,adopted son|adoption|boy|mars the planet|widower,71,2007
Robert Rodriguez,89,0,640,2000,Alexa PenaVega,2010s|3 dimensional|breath holding contest|child spy|spy,83,2011
Jodie Foster,98,0,638,8000,Julia Roberts,death|hostage|money|shot in the chest|shot in the heart,103,2016
Ronny Yu,93,31,57,783,Meat Loaf,american in the uk|drug lord|drugs|gangster|organized crime,167,2001
Joel Schumacher,112,541,638,22000,Robert De Niro,gay interest|gay lead character|gay republican|homosexual|neighbor,105,1999
Renny Harlin,101,212,749,1000,LL Cool J,fbi|group|island|serial killer|training,226,2004
Barry Levinson,104,272,17000,22000,Robert De Niro,actor|agent|beard|cannes|hollywood,111,2008
