director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Franklin J. Schaffner,2,118,249,William Hootkins,902,800000,Frank Langella,Sphinx ,892,2079,John Gielgud,0,bat|curse|egyptologist|mummy|murder,21,English,488,5.2,2.35,106
Noah Baumbach,270,97,64,Maria Dizzia,6000,7574066,Naomi Watts,While We're Young ,30325,6322,Dree Hemingway,2,documentary filmmaker|documentary filmmaking|father in law|generation z|hipster,96,English,139,6.3,1.85,0
Chris Weitz,94,98,221,Eddie 'Piolin' Sotelo,749,1754319,Demián Bichir,A Better Life ,13174,2214,Robert Peters,0,gang|gardener|money|police|truck,81,English,252,7.2,1.85,0
David Cronenberg,157,98,258,John Neville,530,1641788,Miranda Richardson,Spider ,30096,1381,Lynn Redgrave,0,halfway house|key|reality|schizophrenia|spider,213,English,387,6.8,1.78,0
Eric Blakeney,49,101,826,Oliver Platt,14000,1631839,Liam Neeson,Gun Shy ,5936,17665,Mitch Pileggi,0,colombian|enema|group therapy|murder|nurse,91,English,1000,5.7,1.85,242
Douglas McGrath,80,132,1000,Anne Hathaway,16000,1309849,Charlie Hunnam,Nicholas Nickleby ,9395,29177,Jim Broadbent,1,boy|boys' school|death|friend|orphan,103,English,11000,7.2,2.35,0
Ariel Vromen,221,106,683,James Franco,11000,1939441,Chris Evans,The Iceman ,55567,23187,Robert Davi,1,based on true story|contract killer|crime family|murder of a girl|serial murderer,144,English,11000,6.9,1.85,20000
,53,55,2,Olaf Lubaszenko,20,447093,Krystyna Janda,Dekalog             ,12591,25,Olgierd Lukaszewicz,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,37,Polish,3,9.1,1.33,0
Rakesh Roshan,20,168,45,Rekha,307,,Naseeruddin Shah,Krrish ,12411,616,Sharat Saxena,0,breaking the fourth wall|breaking the fourth wall by talking to the audience|computer|mask|singapore,110,Hindi,200,6.3,2.35,533
John Waters,90,87,503,Melanie Griffith,975,1276984,Alicia Witt,Cecil B. DeMented ,11403,3059,Kevin Nealon,2,actress|drive in|female protagonist|movie star|woman shot in the forehead,150,English,537,6.2,1.85,795
William Friedkin,376,98,251,Scott A. Martin,11000,1987762,Matthew McConaughey,Killer Joe ,59297,11853,Carol Sutton,0,female nudity|female pubic hair|lingerie|neo noir|pubic hair,216,English,414,6.7,1.85,12000
Derrick Borte,144,96,688,Gary Cole,2000,1474508,Demi Moore,The Joneses ,33473,4607,Robert Pralgo,4,envy|fake family|gadget|materialism|unhappy marriage,88,English,989,6.5,2.35,0
Richard Kwietniowski,82,104,232,Minnie Driver,22000,1011054,Philip Seymour Hoffman,Owning Mahowny ,10585,23513,Maury Chaykin,1,bank|bank fraud|bank manager|gambling|toronto,83,English,893,7.2,2.35,0
Bob Odenkirk,51,93,622,Lee Majors,966,900926,Jenna Fischer,The Brothers Solomon ,9517,3307,Will Forte,2,antarctica|coma|neighbor|phd|pregnancy,46,English,799,5.3,1.85,319
Kar-Wai Wong,192,95,20,Norah Jones,20000,866778,Natalie Portman,My Blueberry Nights ,44208,20364,Adriane Lenox,3,blueberry pie|diner|nevada|new york city|pie,117,English,329,6.7,2.35,0
John Turturro,36,119,54,Ben Gazzara,816,836641,Beverly D'Angelo,Illuminata ,1402,1585,George DiCenzo,0,critic|new york|new york city|playwright|theater critic,40,English,623,6.2,1.85,74
Guy Ritchie,71,89,119,Jeanne Tripplehorn,990,598645,Bruce Greenwood,Swept Away ,13145,2006,David Thornton,0,island|sailor|storm|stranded|vacation,215,English,711,3.6,1.85,725
Joshua Seftel,79,107,91,Sergej Trifunovic,603,578527,Bashar Rahal,War, Inc. ,20008,988,Ned Bellamy,3,assassin|corporation|pop star|reporter|satire,112,English,175,5.7,1.78,883
Stephen Chow,246,85,51,Karen Mok,478,488872,Wei Zhao,Shaolin Soccer ,56923,700,Kwok-Kwan Chan,2,cult film|kung fu|martial arts|shaolin|soccer,243,Cantonese,83,7.3,1.85,0
