num_critic_for_reviews,movie_title
66,Jimmy Neutron: Boy Genius 
459,Cloverfield 
68,Teenage Mutant Ninja Turtles II: The Secret of the Ooze 
123,The Untouchables 
488,No Country for Old Men 
146,Ride Along 
168,Bridget Jones's Diary 
152,Chocolat 
133,Legally Blonde 2: Red, White & Blonde 
139,Parental Guidance 
245,No Strings Attached 
84,Tombstone 
70,Romeo Must Die 
154,The Omen 
216,Final Destination 3 
170,The Lucky One 
181,Bridge to Terabithia 
226,Finding Neverland 
24,A Madea Christmas 
408,The Grey 
180,Hide and Seek 
181,Anchorman: The Legend of Ron Burgundy 
192,Goodfellas 
79,Agent Cody Banks 
128,Nanny McPhee 
147,Scarface 
49,Nothing to Lose 
75,The Last Emperor 
270,Contraband 
29,Money Talks 
398,There Will Be Blood 
38,The Wild Thornberrys Movie 
45,Rugrats Go Wild 
81,Undercover Brother 
88,The Sisterhood of the Traveling Pants 
116,Kiss of the Dragon 
129,The House Bunny 
72,Beauty Shop 
151,Million Dollar Arm 
198,The Giver 
66,What a Girl Wants 
167,Jeepers Creepers II 
127,Good Luck Chuck 
109,Cradle 2 the Grave 
174,The Hours 
91,She's the Man 
151,Mr. Bean's Holiday 
94,Anacondas: The Hunt for the Blood Orchid 
91,Blood Ties 
148,August Rush 
141,Elizabeth 
114,Bride of Chucky 
79,Tora! Tora! Tora! 
33,Spice World 
146,The Sitter 
83,Dance Flick 
199,The Shawshank Redemption 
71,Crocodile Dundee in Los Angeles 
62,Kingpin 
175,The Gambler 
322,August: Osage County 
67,Ice Princess 
112,A Lot Like Love 
216,Eddie the Eagle 
48,He Got Game 
44,Don Juan DeMarco 
12,Shaun the Sheep             
162,Dear John 
213,The Losers 
298,Don't Be Afraid of the Dark 
119,War 
251,Punch-Drunk Love 
92,EuroTrip 
58,Half Past Dead 
73,Unaccompanied Minors 
28,Bright Lights, Big City 
19,The Adventures of Pinocchio 
86,The Greatest Game Ever Played 
287,The Box 
233,The Ruins 
86,The Next Best Thing 
160,My Soul to Take 
126,The Girl Next Door 
50,Maximum Risk 
52,Stealing Harvard 
260,Legend 
111,Hot Rod 
231,Shark Night 3D 
99,Angela's Ashes 
159,Draft Day 
159,Lifeforce 
7,The Powerpuff Girls             
199,The Conspirator 
119,Lords of Dogtown 
120,The 33 
180,Big Trouble in Little China 
58,A Perfect Plan 
317,Warrior 
44,Michael Collins 
22,Gettysburg 
143,Stop-Loss 
72,Abandon 
70,Brokedown Palace 
264,The Possession 
20,Mrs. Winterbourne 
190,Straw Dogs 
142,The Hoax 
27,Stone Cold 
355,The Road 
21,Sheena 
31,Underclassman 
87,Say It Isn't So 
126,The World's Fastest Indian 
285,Snakes on a Plane 
60,Tank Girl 
23,King's Ransom 
229,Blindness 
143,BloodRayne 
376,Carnage 
97,Where the Truth Lies 
73,Cirque du Soleil: Worlds Away 
28,Without Limits 
160,Me and Orson Welles 
124,The Best Offer 
280,Bad Lieutenant: Port of Call New Orleans 
56,A Turtle's Tale: Sammy's Adventures 
118,Little White Lies 
49,Love Ranch 
4,The True Story of Puss'N Boots 
16,Space Dogs 
336,The Counselor 
91,Ironclad 
16,Waterloo 
65,Kung Fu Killer 
7,Red Sky 
51,Dangerous Liaisons 
252,On the Road 
106,Star Trek IV: The Voyage Home 
285,Rocky Balboa 
163,Point Break 
195,Scream 2 
123,Jane Got a Gun 
52,Think Like a Man Too 
129,The Whole Nine Yards 
60,Footloose 
123,Old School 
84,The Fisher King 
125,I Still Know What You Did Last Summer 
106,Return to Me 
247,Zack and Miri Make a Porno 
156,Nurse Betty 
271,The Men Who Stare at Goats 
45,Double Take 
133,Girl, Interrupted 
84,Win a Date with Tad Hamilton! 
70,Muppets from Space 
32,The Wiz 
51,Ready to Rumble 
73,Play It to the Bone 
169,I Don't Know How She Does It 
365,Piranha 3D 
113,Beyond the Sea 
18,Meet the Deedles 
10,The Princess and the Cobbler 
16,The Bridge of San Luis Rey 
196,Faster 
212,Howl's Moving Castle 
445,Zombieland 
446,King Kong 
108,The Waterboy 
223,Star Wars: Episode V - The Empire Strikes Back 
63,Bad Boys 
43,The Naked Gun 2½: The Smell of Fear 
211,Final Destination 
421,The Ides of March 
214,Pitch Black 
92,Someone Like You... 
574,Her 
216,Eddie the Eagle 
140,Joy Ride 
28,The Adventurer: The Curse of the Midas Box 
36,Anywhere But Here 
65,Chasing Liberty 
53,The Crew 
394,Haywire 
80,Jaws: The Revenge 
45,Marvin's Room 
47,The Longshots 
90,The End of the Affair 
30,Harley Davidson and the Marlboro Man 
232,In the Valley of Elah 
165,Coco Before Chanel 
45,Forsaken 
155,Chéri 
6,Rogue             
118,Vanity Fair 
55,Bodyguards and Assassins 
314,1408 
103,Spaceballs 
183,The Water Diviner 
77,Ghost 
171,There's Something About Mary 
64,The Santa Clause 
92,The Rookie 
112,The Game Plan 
69,The Bridges of Madison County 
75,The Animal 
95,Gandhi 
180,The Hundred-Foot Journey 
53,The Net 
129,I Am Sam 
61,Son of God 
226,Underworld 
116,Derailed 
248,The Informant! 
23,Shadowlands 
98,Deuce Bigalow: European Gigolo 
168,Delivery Man 
159,Victor Frankenstein 
134,Our Kind of Traitor 
97,Saving Silverman 
88,Diary of a Wimpy Kid: Dog Days 
85,Summer of Sam 
181,Jay and Silent Bob Strike Back 
257,The Island 
95,The Glass House 
423,Hail, Caesar! 
93,Josie and the Pussycats 
203,Homefront 
38,The Little Vampire 
183,I Heart Huckabees 
75,RoboCop 3 
18,Megiddo: The Omega Code 2 
22,Darling Lili 
41,Dudley Do-Right 
148,The Transporter Refueled 
111,The Libertine 
231,Black Book 
115,Joyeux Noel 
176,Hit and Run 
98,Mad Money 
149,Before I Go to Sleep 
84,Sorcerer 
138,Stone 
78,Molière 
288,Out of the Furnace 
299,Michael Clayton 
27,My Fellow Americans 
155,Arlington Road 
82,Underdogs 
275,To Rome with Love 
43,Firefox 
163,South Park: Bigger Longer & Uncut 
168,Death at a Funeral 
60,Teenage Mutant Ninja Turtles III 
85,Hardball 
539,Silver Linings Playbook 
84,Freedom Writers 
75,For Colored Girls 
171,The Transporter 
140,Never Back Down 
85,The Rage: Carrie 2 
5,The Bachelor             
217,Away We Go 
131,Swing Vote 
111,Moonlight Mile 
466,Tinker Tailor Soldier Spy 
16,Molly 
276,The Beaver 
11,The Best Little Whorehouse in Texas 
196,eXistenZ 
234,Raiders of the Lost Ark 
37,Home Alone 2: Lost in New York 
171,Close Encounters of the Third Kind 
148,Pulse 
50,Beverly Hills Cop II 
121,Bringing Down the House 
185,The Silence of the Lambs 
61,Wayne's World 
156,Jackass 3D 
75,Jaws 2 
100,Beverly Hills Chihuahua 
511,The Conjuring 
75,Are We There Yet? 
148,Tammy 
253,Disturbia 
204,School of Rock 
72,Mortal Kombat 
98,Wicker Park 
62,White Chicks 
549,The Descendants 
106,Holes 
123,The Last Song 
597,12 Years a Slave 
64,Drumline 
40,Why Did I Get Married Too? 
111,Edward Scissorhands 
151,Me Before You 
31,Madea's Witness Protection 
138,The French Connection 
81,Bad Moms 
99,Date Movie 
80,Return to Never Land 
364,Selma 
85,The Jungle Book 2 
140,Boogeyman 
184,Premonition 
89,The Tigger Movie 
265,Orphan 
61,Max 
3,Meet the Browns             
112,Epic Movie 
166,Conan the Barbarian 
474,Spotlight 
165,Lakeview Terrace 
131,The Grudge 2 
29,How Stella Got Her Groove Back 
43,Bill & Ted's Bogus Journey 
111,Man of the Year 
90,The Black Hole 
333,The American 
37,Selena 
122,Vampires Suck 
285,Babel 
156,This Is Where I Leave You 
293,Doubt 
233,Team America: World Police 
282,Texas Chainsaw 3D 
57,Copycat 
153,Scary Movie 5 
20,Paint Your Wagon 
324,Milk 
122,Risen 
156,Ghost Ship 
161,A Very Harold & Kumar 3D Christmas 
69,Wild Things 
121,The Stepfather 
258,The Debt 
174,High Fidelity 
141,One Missed Call 
31,Eye for an Eye 
222,The Bank Job 
273,Eternal Sunshine of the Spotless Mind 
91,You Again 
190,Street Kings 
427,The World's End 
93,Nancy Drew 
292,Daybreakers 
180,She's Out of My League 
94,Monte Carlo 
112,Stay Alive 
20,Quigley Down Under 
84,Alpha and Omega 
120,The Covenant 
90,Stick It 
103,Shorts 
59,To Die For 
86,Nerve 
190,Appaloosa 
114,Vampires 
6,Yu-Gi-Oh! Duel Monsters             
290,Psycho 
80,My Best Friend's Girl 
98,Endless Love 
88,Georgia Rule 
13,Under the Rainbow 
52,Ladyhawke 
60,Simon Birch 
154,Reign Over Me 
274,Into the Wild 
110,School for Scoundrels 
173,Silent Hill: Revelation 3D 
165,From Dusk Till Dawn 
45,Pooh's Heffalump Movie 
45,Home for the Holidays 
377,Kung Fu Hustle 
,Fired Up             
43,The Country Bears 
201,The Kite Runner 
192,21 Grams 
77,Paparazzi 
350,Twilight 
81,A Guy Thing 
81,Loser 
222,Capitalism: A Love Story 
27,The Greatest Story Ever Told 
155,Secret in Their Eyes 
111,Disaster Movie 
107,Armored 
34,The Man Who Knew Too Little 
151,What's Your Number? 
289,Lockout 
76,Envy 
150,Crank: High Voltage 
67,Bullets Over Broadway 
36,One Night with the King 
149,The Quiet American 
156,The Weather Man 
64,Undisputed 
210,Ghost Town 
113,12 Rounds 
390,Let Me In 
5,3 Ninjas Kick Back 
248,Be Kind Rewind 
137,Mrs Henderson Presents 
214,Triple 9 
104,Deconstructing Harry 
81,Three to Tango 
175,Burnt 
20,We're No Angels 
69,Everyone Says I Love You 
168,Death at a Funeral 
166,Death Sentence 
160,Everybody's Fine 
32,Superbabies: Baby Geniuses 2 
72,The Man 
53,Code Name: The Cleaner 
76,Connie and Carla 
15,Sweet Charity 
401,Inherent Vice 
31,Doogal 
65,Battle of the Year 
26,Perception             
45,An American Carol 
260,Machete Kills 
129,Willard 
58,Strange Wilderness 
103,Topsy-Turvy 
45,Little Boy 
345,A Dangerous Method 
232,A Scanner Darkly 
116,Chasing Mavericks 
148,Alone in the Dark 
79,Bandslam 
167,Birth 
350,A Most Violent Year 
25,Passchendaele 
99,Flash of Genius 
231,I'm Not There. 
119,The Cold Light of Day 
182,The Brothers Bloom 
245,Synecdoche, New York 
174,Princess Mononoke 
69,Bon voyage 
26,Can't Stop the Music 
168,The Proposition 
27,Courage 
28,Marci X 
146,Equilibrium 
67,The Children of Huang Shi 
93,The Yards 
28,The Oogieloves in the Big Balloon Adventure 
131,By the Sea 
105,Steamboy 
21,The Game of Their Lives 
140,All Good Things 
