actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,country,content_rating
2000,Morgan Freeman,18000,Denzel Washington,101888,USA,R
642,Burt Young,22000,Robert De Niro,221000,Italy,R
174,Isabelle Huppert,3000,Dominic Cooper,54147,USA,R
548,Mackenzie Crook,14000,Al Pacino,29715,USA,R
345,Saïd Taghmaoui,2000,Emir Kusturica,9004,France,R
826,Mike Vogel,17000,Channing Tatum,3926,USA,PG-13
135,Bill Paterson,876,Emily Watson,23864,UK,PG
107,Toby Leonard Moore,489,Dong-gun Jang,8215,China,PG-13
748,Holly Valance,826,Steve Howey,38503,USA,PG-13
820,Jeremy Renner,11000,Brad Pitt,136104,USA,R
187,Joan Chen,974,Bingbing Li,4670,China,R
55,Sandrine Kiberlain,295,Louise Bourgoin,9214,France,
700,Michael Angarano,26000,Jason Statham,36487,USA,R
313,Madeline Carroll,18000,Gerard Butler,52972,USA,R
480,Vanessa Redgrave,1000,Jim Broadbent,4599,Germany,PG
11,Patrick Lyster,113,Terry Pheto,10175,Germany,R
432,Thomas Kretschmann,922,Fisher Stevens,3279,France,Not Rated
520,Frank Langella,963,Paz Vega,12410,Switzerland,
21,Fedor Bondarchuk,114,Konstantin Khabenskiy,393,Russia,
24,Dougray Scott,1000,Ray Winstone,14618,Italy,R
365,Salma Hayek,11000,James Franco,3302,USA,R
751,Birgitte Hjort Sørensen,10000,Anna Kendrick,97697,USA,PG-13
154,Dallas Roberts,523,Sandra Ellis Lafferty,188637,USA,PG-13
442,Kirk Acevedo,757,Amanda Schull,20839,USA,TV-14
754,Milos Forman,955,Lisa Edelstein,44816,USA,PG-13
373,Bradley Pierce,1000,Jim Broadbent,16222,UK,PG
1000,Clint Howard,2000,Toby Jones,88682,USA,R
89,David Julian Hirsh,504,Dick Clark,71596,USA,R
584,Jerry Stiller,2000,Matthew Perry,14315,Germany,PG-13
265,Tyler Labine,22000,Peter Dinklage,16984,USA,R
400,Kevin McNally,18000,Denzel Washington,9913,UK,PG
933,Alfre Woodard,11000,Zooey Deschanel,8134,USA,R
363,Billy Boyd,1000,Jason Flemyng,28632,Romania,R
566,Jason Lewis,1000,Jennifer Jason Leigh,92850,USA,R
631,Frank Welker,49000,Robin Williams,260939,USA,G
303,Neil Brown Jr.,559,Aldis Hodge,119928,USA,R
237,Amrish Puri,11000,Harrison Ford,329969,USA,PG
368,Cree Summer,971,Elizabeth Daily,14005,USA,G
878,Billy Burke,11000,Morgan Freeman,59232,USA,R
83,Nina Arianda,11000,Meryl Streep,2167,UK,PG-13
876,Salma Hayek,40000,Johnny Depp,130094,USA,R
541,Bruce Willis,25000,Alan Rickman,592582,USA,R
526,Ken Marino,833,Joe Lo Truglio,195255,Germany,R
767,Christian Bale,33000,Ryan Gosling,182983,USA,R
210,Kevin Chamberlin,579,Imelda Staunton,24663,USA,R
250,Noah Emmerich,639,Eddie Cahill,36636,USA,PG
1000,Kevin Zegers,3000,Ty Burrell,194422,USA,R
968,Judy Greer,11000,Matthew McConaughey,61317,Germany,PG-13
47,Yû Aoi,173,Shun Oguri,8227,Japan,Not Rated
327,Anjelica Huston,13000,Bill Murray,209133,USA,R
660,Rebecca De Mornay,1000,Clea DuVall,177828,USA,R
966,Morgan Freeman,22000,Robert De Niro,106755,USA,PG-13
244,Topol,844,Julian Glover,72085,UK,PG
6,David Sparrow,11,Lilli Lavine,85423,USA,PG-13
186,Bruce McGill,664,Mia Sara,44394,Canada,R
8000,Alexander Skarsgård,14000,Milla Jovovich,201084,Germany,PG-13
325,Noah Lomax,576,David Lyons,78008,USA,PG-13
115,Omri Katz,580,Vinessa Shaw,60494,USA,PG
559,Lily Rabe,943,Zoë Kravitz,59068,USA,PG
385,Deborah Twiss,553,Elizabeth McGovern,435864,UK,R
459,Dilshad Vadsaria,731,Bianca Kajlich,77935,Germany,R
1000,Danny Masterson,18000,Gerard Butler,27378,USA,R
3000,Steve Carell,35000,Bella Thorne,29738,USA,PG
241,Brenda Blethyn,422,Talulah Riley,193455,France,PG
521,Sean Young,11000,Harrison Ford,461609,USA,R
902,Jason Flemyng,14000,Liam Neeson,34427,USA,R
114,Richard Sammel,933,Connie Nielsen,69355,USA,PG-13
97,Oleg Taktarov,3000,Robert Duvall,72693,USA,R
258,Bob Clendenin,497,Philip Baker Hall,9338,USA,R
,Philippe Labro,63,Jacques Perrin,10369,France,G
585,Carlos Ponce,806,Samaire Armstrong,44103,USA,PG-13
385,Mary McCormack,738,Scott Grimes,22250,Canada,R
453,Amber Valletta,1000,Madeline Carroll,29971,USA,PG
899,Francis Capra,1000,Mara Wilson,4288,USA,PG
900,Clea DuVall,26000,Jason Statham,43006,USA,R
660,Zoe Kazan,1000,Dominic Flores,11476,USA,R
845,Bella Heathcote,2000,Matt Smith,23775,USA,PG-13
0,Tulku Jamyang Kunga Tenzin,2,Tenzin Thuthob Tsarong,21606,USA,PG-13
87,Katherine Parkinson,480,James Corden,61269,UK,R
405,Donald Faison,17000,Chloë Grace Moretz,202967,USA,R
278,Elena Anaya,10000,Viggo Mortensen,10266,Spain,
561,Robert Maillet,23000,Paul Walker,32103,France,PG-13
293,Kabir Bedi,594,Louis Jourdan,74374,UK,PG
529,Martin Starr,11000,Harold Ramis,298590,USA,R
228,Sofia Vassilieva,673,Jason Patric,74476,USA,PG-13
436,Mike Epps,940,Mo'Nique,10791,USA,PG-13
162,Judy Davis,358,Richard Wilson,12980,UK,PG
78,Andrew Simpson,386,Phil Davis,64625,UK,R
11000,Jake Gyllenhaal,24000,J.K. Simmons,47203,USA,R
535,Mary Elizabeth Mastrantonio,766,Colin Salmon,38177,USA,TV-14
664,Kurtwood Smith,12000,Leonard Nimoy,55513,USA,PG
477,Fionnula Flanagan,1000,Ellen Burstyn,15352,USA,PG-13
591,Bill Murray,19000,Scarlett Johansson,106221,UK,PG
685,Tony Goldwyn,11000,Morgan Freeman,50653,USA,R
326,Aretha Franklin,1000,John Belushi,142448,USA,R
523,Blythe Danner,953,America Ferrera,22304,USA,PG-13
715,Jeremy Jordan,1000,Dolly Parton,6476,USA,PG-13
3,Christopher Webster,66,Sharon Small,144021,UK,PG-13
429,Bridget Fonda,1000,Oliver Platt,42761,USA,R
1000,Morgan Freeman,13000,Bruce Willis,262153,Germany,R
820,Scott Glenn,2000,Dennis Quaid,45271,USA,PG
358,Joely Richardson,898,Vanessa Redgrave,34488,UK,PG-13
271,Barret Oliver,523,Gerald McRaney,99557,West Germany,PG
531,William Hurt,3000,Rufus Sewell,156929,Australia,R
844,Hayley Atwell,3000,Dominic Cooper,61777,UK,PG-13
94,Art Carney,491,Jackie Gleason,3446,USA,
137,Jean Marsh,303,Piper Laurie,19568,UK,PG
324,Lew Temple,11000,Matthew McConaughey,8309,USA,PG-13
355,Callum Rennie,14000,Bradley Cooper,60555,USA,R
398,Kevin Chamberlin,748,Harry Lennix,16555,USA,R
460,Richard Schiff,1000,Oliver Platt,17436,USA,PG
640,Joel McHale,2000,Alexa PenaVega,15866,USA,PG
638,Jack O'Connell,8000,Julia Roberts,19611,USA,R
57,Junix Inocian,783,Meat Loaf,42876,UK,R
638,Philip Seymour Hoffman,22000,Robert De Niro,14612,USA,R
749,Clifton Collins Jr.,1000,LL Cool J,49405,USA,R
17000,Robin Wright,22000,Robert De Niro,23767,USA,R
387,Colin Salmon,844,Charlotte Rampling,4257,Canada,R
3,Amy Carson,5,Kim-Marie Woodhouse,926,France,
328,Adhir Kalyan,567,Erick Avari,84209,USA,PG
512,Julie Gonzalo,2000,Jamie Lee Curtis,96693,USA,PG
218,Romany Malco,7000,Steve Carell,313797,USA,R
239,Martin Clunes,1000,Tom Wilkinson,175524,USA,R
313,Boyd Holbrook,14000,Liam Neeson,87950,USA,R
344,Cathy Moriarty,743,Richard Tyson,107801,USA,PG-13
919,Gary Cole,11000,James Franco,255257,USA,R
343,Dougray Scott,1000,Anjelica Huston,57958,USA,PG-13
648,Michael Jeter,3000,Robert Duvall,54096,USA,R
442,Oliver Platt,8000,Julia Roberts,62037,USA,R
424,Kaitlin Olson,813,Rob McElhenney,133415,USA,TV-MA
14,Dirk Bogarde,385,Ryan O'Neal,40277,USA,PG
178,Carl Gilliard,332,Robert Pine,94108,USA,PG-13
392,Michael Landes,748,Sarah Carter,120786,USA,R
577,Tim Blake Nelson,1000,Holly Hunter,225102,UK,PG-13
534,Kate Walsh,2000,Dennis Quaid,80870,USA,R
385,Larry Hankin,12000,Dwayne Johnson,161168,USA,R
2000,Ty Burrell,19000,Scarlett Johansson,48973,USA,PG-13
528,Paula Garcés,2000,Michael Biehn,11212,USA,PG
67,Todd Allen,826,Scott Glenn,28247,USA,PG-13
3000,Jake Gyllenhaal,20000,Natalie Portman,88035,USA,R
