director_name,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,language,actor_2_facebook_likes,imdb_score,aspect_ratio
Bibo Bergeron,442,2000,58300,3372,1,adventurer|el dorado|gold|high priest|implied sex,http://www.imdb.com/title/tt0138749/?ref_=fn_tt_tt_1,English,919,6.9,1.85
Steve Martino,916,22000,145321,25354,0,acorn|herd|iceberg|ocean|pirate,http://www.imdb.com/title/tt1667889/?ref_=fn_tt_tt_1,English,1000,6.6,2.35
Kenneth Branagh,502,2000,103737,4671,1,dress|duke|fairy godmother|fairy tale|pumpkin,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,English,520,7.0,2.35
Peter Jackson,310,873,125109,2370,1,1970s|afterlife|heaven|pedophile|rape,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,English,560,6.7,2.35
Andrew Stanton,799,1000,692482,5641,0,great barrier reef|protective father|separation from family|shark|short term memory loss,http://www.imdb.com/title/tt0266543/?ref_=fn_tt_tt_1,English,939,8.2,1.85
Peter Jackson,416,5000,1215718,6434,2,battle|epic|king|orc|ring,http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1,English,857,8.9,2.35
Peter Jackson,857,16000,1100446,23052,1,epic|evil wizard|middle earth|ring|wizard,http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1,English,5000,8.7,2.35
Sergey Bodrov,766,12000,54501,17098,4,apprentice|demon|exorcism|master apprentice relationship|witch,http://www.imdb.com/title/tt1121096/?ref_=fn_tt_tt_1,English,3000,5.5,2.35
Simon West,240,11000,157016,12150,1,illuminati|planetary alignment|time|tomb|tomb raider,http://www.imdb.com/title/tt0146316/?ref_=fn_tt_tt_1,English,509,5.7,2.35
Wally Pfister,968,40000,172707,54031,1,artificial intelligence|consciousness|power outage|scientist|technology,http://www.imdb.com/title/tt2209764/?ref_=fn_tt_tt_1,English,11000,6.3,2.35
Joe Johnston,527,693,219501,2574,0,dinosaur|island|jurassic park|paleontologist|search,http://www.imdb.com/title/tt0163025/?ref_=fn_tt_tt_1,English,595,5.9,1.85
Rupert Wyatt,779,11000,403836,13118,0,alzheimer's disease|ape|chimpanzee|fire|when animals attack,http://www.imdb.com/title/tt1318514/?ref_=fn_tt_tt_1,English,1000,7.6,2.35
Mark Waters,330,770,68935,1614,0,actor playing multiple roles|brownie the creature|closing credits sequence|family relationships|magical creature,http://www.imdb.com/title/tt0416236/?ref_=fn_tt_tt_1,English,419,6.6,2.35
John Moore,476,13000,165618,15481,2,bomb|cia|courthouse|escape|russian,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,English,787,5.3,1.85
John Lee Hancock,877,2000,16832,5780,0,army|dictator|general|texan|texas,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1,English,973,6.0,2.35
Brad Bird,55,1000,479166,1901,0,hero|island|lawsuit|secret|superhero,http://www.imdb.com/title/tt0317705/?ref_=fn_tt_tt_1,English,723,8.0,2.35
Renny Harlin,810,1000,21102,3611,3,latin|pirate|pirate ship|treasure|treasure map,http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1,English,903,5.6,2.35
Chris Columbus,1000,8000,141179,14024,0,greek|lightning|lightning bolt|poseidon|teenager,http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1,English,3000,5.9,2.35
Barry Sonnenfeld,602,10000,403014,12998,0,alien|box office hit|flying saucer|laser gun|wisecrack humor,http://www.imdb.com/title/tt0119654/?ref_=fn_tt_tt_1,English,826,7.3,1.85
John Lasseter,967,15000,385871,21275,2,collector|dog|friend|rescue|toy,http://www.imdb.com/title/tt0120363/?ref_=fn_tt_tt_1,English,1000,7.9,1.85
Tony Scott,1000,18000,149947,25780,1,freight train|race against time|runaway train|train|train engineer,http://www.imdb.com/title/tt0477080/?ref_=fn_tt_tt_1,English,3000,6.8,2.35
Brett Ratner,141,191,160440,664,2,boat|gang|hong kong|triad|vacation,http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1,English,165,6.6,2.35
Robert Zemeckis,568,11000,98403,12890,0,ghost|haunted house|research|secret|vermont,http://www.imdb.com/title/tt0161081/?ref_=fn_tt_tt_1,English,627,6.6,2.35
Phil Lord,56,622,152601,1227,1,food|giant food|mayor|sardine|weather,http://www.imdb.com/title/tt0844471/?ref_=fn_tt_tt_1,English,526,7.0,2.35
Carlos Saldanha,117,835,166791,1258,0,egg|lost world|rescue|squirrel|weasel,http://www.imdb.com/title/tt1080016/?ref_=fn_tt_tt_1,English,256,7.0,1.85
Ben Stiller,423,3000,236421,5095,1,daydream|life magazine|magazine|photographer|snow leopard,http://www.imdb.com/title/tt0359950/?ref_=fn_tt_tt_1,English,806,7.3,2.35
McG,466,13000,145350,15419,0,booty shake|box office hit|duct tape over mouth|first part|martial arts,http://www.imdb.com/title/tt0160127/?ref_=fn_tt_tt_1,English,1000,5.5,2.35
Martin Scorsese,1000,29000,873649,45648,0,boston|mole|police|undercover|undercover cop,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,English,13000,8.5,2.35
Tony Bancroft,484,2000,171792,4478,0,based on poem|based on true story|china|one word title|the huns,http://www.imdb.com/title/tt0120762/?ref_=fn_tt_tt_1,English,500,7.5,1.66
Ben Stiller,918,21000,307539,23484,3,film director|parody|spoof|vietnam|written and directed by cast member,http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1,English,1000,7.0,2.35
David Fincher,585,18000,330152,20388,1,computer hacker|hacker|investigation|journalist|punk,http://www.imdb.com/title/tt1568346/?ref_=fn_tt_tt_1,English,1000,7.8,2.35
John McTiernan,489,13000,299258,14274,1,bomb|detective|new york city|police|terrorist,http://www.imdb.com/title/tt0112864/?ref_=fn_tt_tt_1,English,559,7.6,2.35
Guy Ritchie,727,21000,477300,23996,3,black magic|bridge construction|professor moriarty|scotland yard inspector|sherlock holmes,http://www.imdb.com/title/tt0988045/?ref_=fn_tt_tt_1,English,979,7.6,1.85
Timur Bekmambetov,635,11000,57,13379,2,,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,English,745,6.1,2.35
Gary Trousdale,503,12000,72591,15237,0,atlantis|crew|expedition|journal|museum,http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1,English,802,6.8,2.35
Walt Becker,1000,35000,9418,38450,0,chipmunk|highway travel|on the road|plane|road movie,http://www.imdb.com/title/tt2974918/?ref_=fn_tt_tt_1,English,1000,5.0,1.85
Bryan Singer,919,10000,183247,14165,0,american actor playing foreigner|assassination|conspiracy|military|nazis,http://www.imdb.com/title/tt0985699/?ref_=fn_tt_tt_1,English,1000,7.1,1.85
Dennis Dugan,503,11000,156348,13446,0,hair stylist|jew|landlord|muslim|palestinian,http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1,English,600,5.5,1.85
Chris Columbus,1000,22000,89770,35367,0,alien|arcade game|chase|driving in reverse|video gamer,http://www.imdb.com/title/tt2120120/?ref_=fn_tt_tt_1,English,11000,5.6,2.35
Steven Spielberg,681,3000,238747,6217,0,affection|boy|fairy|future|robot,http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1,English,882,7.1,1.85
Rob Minkoff,441,691,32049,2622,0,arachnophobia|crystal ball|ghost|haunted house|thunderstorm,http://www.imdb.com/title/tt0338094/?ref_=fn_tt_tt_1,English,569,4.9,2.35
Robert Zemeckis,135,11000,200556,12289,2,message from outer space|religion|religion versus science|scientist|universe,http://www.imdb.com/title/tt0118884/?ref_=fn_tt_tt_1,English,1000,7.4,2.35
Paul Verhoeven,423,833,101834,2356,0,experiment|research|scientist|suburb|surrealism,http://www.imdb.com/title/tt0164052/?ref_=fn_tt_tt_1,English,624,5.7,1.85
Sydney Pollack,249,591,86152,2100,1,african|assassination|dialect|interpreter|threat,http://www.imdb.com/title/tt0373926/?ref_=fn_tt_tt_1,Aboriginal,249,6.4,2.35
Thor Freudenthal,918,8000,86627,10882,0,golden fleece|half brother|magical tree|sea|tree,http://www.imdb.com/title/tt1854564/?ref_=fn_tt_tt_1,English,956,5.9,2.35
Jan de Bont,3000,18000,102747,33154,1,duology|female hero|female lead|orb|pandora's box,http://www.imdb.com/title/tt0325703/?ref_=fn_tt_tt_1,English,11000,5.5,2.35
Jon M. Chu,886,11000,40862,23031,6,card trick|london england|magician|rain machine|rooftop,http://www.imdb.com/title/tt3110958/?ref_=fn_tt_tt_1,English,11000,6.9,2.35
Phillip Noyce,84,192,52136,475,0,cold fusion|disguise|energy|fusion|the saint,http://www.imdb.com/title/tt0120053/?ref_=fn_tt_tt_1,English,117,6.2,2.35
Tony Scott,307,11000,121259,12499,2,china|cia|cold war|friendship|retirement,http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1,English,577,7.0,2.35
Brian De Palma,281,3000,60467,4902,0,astronaut|mars|mars the planet|outer space|zero gravity,http://www.imdb.com/title/tt0183523/?ref_=fn_tt_tt_1,English,933,5.6,2.35
Carlos Saldanha,350,11000,165333,12071,0,bird|brazilian|cockatoo|macaw|minnesota,http://www.imdb.com/title/tt1436562/?ref_=fn_tt_tt_1,English,560,7.0,2.35
Chris Columbus,957,49000,87785,55254,0,23rd century|android|artificial intelligence|dual role|robot,http://www.imdb.com/title/tt0182789/?ref_=fn_tt_tt_1,English,1000,6.8,1.85
Mick Jackson,612,3000,58227,5062,0,earthquake|fire|lava|rescue|volcano,http://www.imdb.com/title/tt0120461/?ref_=fn_tt_tt_1,English,643,5.4,1.85
Alan J. Pakula,2000,11000,45602,26088,0,friendship|murder|northern ireland|police officer|terrorist,http://www.imdb.com/title/tt0118972/?ref_=fn_tt_tt_1,English,11000,6.1,2.35
Kathryn Bigelow,123,14000,49311,15149,1,courage|radiation sickness|radioactive contamination|sea|test launch,http://www.imdb.com/title/tt0267626/?ref_=fn_tt_tt_1,English,602,6.7,2.35
Josh Trank,78,596,110486,1261,3,box office flop|critically bashed|portal|teleportation|troubled production,http://www.imdb.com/title/tt1502712/?ref_=fn_tt_tt_1,English,360,4.3,2.35
John Milius,183,919,113065,2024,0,actual animal killed|cult|evil sorcerer|gladiator|warlord,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,English,691,6.9,2.35
Ron Howard,537,680,148238,2523,0,boxer|boxing|dream|great depression|love,http://www.imdb.com/title/tt0352248/?ref_=fn_tt_tt_1,English,655,8.0,2.35
Andrey Konchalovskiy,554,887,2508,2728,0,box office flop|christmas|christmas eve|critically bashed|toy comes to life,http://www.imdb.com/title/tt1041804/?ref_=fn_tt_tt_1,English,886,4.4,2.35
Gary Ross,599,12000,57661,13808,0,horse|horse racing|jockey|limp|seabiscuit,http://www.imdb.com/title/tt0329575/?ref_=fn_tt_tt_1,English,947,7.3,2.35
Jan de Bont,848,22000,144053,26239,0,device|disaster|divorce|storm|tornado,http://www.imdb.com/title/tt0117998/?ref_=fn_tt_tt_1,English,946,6.3,2.35
Rob Cohen,4000,23000,272223,45327,2,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,English,14000,6.7,2.35
Robert Zemeckis,272,15000,394317,15838,1,christmas|island|love|survival|talking to inanimate object,http://www.imdb.com/title/tt0162222/?ref_=fn_tt_tt_1,English,410,7.7,1.85
George Miller,971,49000,132501,70996,0,dance|emperor penguin|friend|penguin|song,http://www.imdb.com/title/tt0366548/?ref_=fn_tt_tt_1,English,20000,6.5,2.35
